CN,INVYR,P3_OZONE_IND,STATECD,STATEAB,STATENM,RSCD,ANN_INVENTORY,NOTES,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE,PRJ_CN
63139673010538,2005,Y,54,WV,West Virginia,24,Y,Ozone survey record; independent sample from standard survey.,2005-03-04 14:19:48,2021-05-03 15:12:33,12,1,270781653732862
159227968010661,2007,Y,54,WV,West Virginia,24,Y,Ozone survey record; independent sample from standard survey.,2008-06-16 07:02:58,2021-05-03 15:12:33,14,1,270781653732862
172086094010661,2010,Y,54,WV,West Virginia,24,Y,Ozone survey record; independent sample from standard survey.,2008-12-05 06:34:27,2021-05-03 15:12:33,17,1,270781653732862
60258740010538,2004,N,54,WV,West Virginia,24,Y,Annual 14% 2004 current area and volume; ,2005-12-19 08:22:32,2021-05-03 10:18:09,6,1,270781652732862
504965631126144,2019,N,54,WV,West Virginia,24,Y,Annual 100% current area and volume; 100% growth removals and mortality; 2013-2019 advanced tree regeneration on P2 plus subsample (12%); Survey includes 10 subpanels for inventory years 2013-2019. 3X intensification on Monongahela National Forest.  3x intensification on George Washington-Jefferson National Forest.,2018-02-14 08:39:11,2021-05-03 10:18:09,8,6,270781652732862
567163105126144,2020,N,54,WV,West Virginia,24,Y,Annual 100% current area and volume; 100% growth removals and mortality; 2014-2020 advanced tree regeneration on P2 plus subsample (12%); Survey includes 10 subpanels for inventory years 2014-2020. 3X intensification on Monongahela National Forest.  3x intensification on George Washington-Jefferson National Forest.,2018-12-10 12:18:01,2022-08-08 12:06:05,8,7,270781652732862
719105716290487,2021,N,54,WV,West Virginia,24,Y,Annual 100% current area and volume; 100% growth removals and mortality; 2015-2021 advanced tree regeneration on P2 plus subsample (12%); Survey includes 10 subpanels for inventory years 2015-2021. 3X intensification on Monongahela National Forest.  3x intensification on George Washington-Jefferson National Forest.,2020-01-30 12:03:31,2023-01-26 09:46:33,9,1,270781652732862
809904922290487,2022,N,54,WV,West Virginia,24,Y,Annual 100% current area and volume; 100% growth removals and mortality; 2016-2022 advanced tree regeneration on P2 plus subsample (12%); Survey includes 10 subpanels for inventory years 2016-2022. 3X intensification on Monongahela National Forest.  3x intensification on George Washington-Jefferson National Forest.,2021-01-05 09:49:56,2024-10-17 07:17:58,9,2,270781652732862
928355124290487,2023,N,54,WV,West Virginia,24,Y,Annual 100% current area and volume; 100% growth removals and mortality; 2017-2023 advanced tree regeneration on P2 plus subsample (12%); Survey includes 10 subpanels for inventory years 2017-2023. 3X intensification on Monongahela National Forest.  3x intensification on George Washington-Jefferson National Forest.,2021-11-01 15:29:32,2025-01-17 08:24:42,9,3,270781652732862
1285089620290487,2024,N,54,WV,West Virginia,24,Y,Annual 100% current area and volume; 100% growth removals and mortality; 2018-2024 advanced tree regeneration on P2 plus subsample (12%); Survey includes 10 subpanels for inventory years 2018-2024. 3X intensification on Monongahela National Forest.  3x intensification on George Washington-Jefferson National Forest.,2023-02-02 08:00:57,2026-07-01 11:49:55,9,4,270781652732862
1542722534290487,2025,N,54,WV,West Virginia,24,Y,Annual 100% current area and volume; 100% growth removals and mortality; 2019-2025 advanced tree regeneration on P2 plus subsample (12%); Survey includes 10 subpanels for inventory years 2019-2025. 3X intensification on Monongahela National Forest.  3x intensification on George Washington-Jefferson National Forest.,2024-02-22 06:51:48,2026-07-01 11:49:56,9,5,270781652732862
167774215010661,1999,Y,54,WV,West Virginia,24,Y,Ozone survey record; independent sample from standard survey.,2008-10-09 07:18:57,2021-05-03 15:12:33,6,1,270781653732862
159473496010661,1995,Y,54,WV,West Virginia,24,Y,Ozone survey record; independent sample from standard survey.,2008-06-16 09:15:01,2021-05-03 15:12:33,2,1,270781653732862
159474039010661,1996,Y,54,WV,West Virginia,24,Y,Ozone survey record; independent sample from standard survey.,2008-06-16 09:15:02,2021-05-03 15:12:33,3,1,270781653732862
66734778010538,2005,N,54,WV,West Virginia,24,Y,Annual 29% 2004-2005 current area and volume; ,2007-03-07 13:07:20,2021-05-03 10:18:09,6,2,270781652732862
75097432010538,2006,N,54,WV,West Virginia,24,Y,Annual 54% 2004-2006 current area and volume; ,2007-09-11 11:06:55,2021-05-03 10:18:09,6,3,270781652732862
120631320010661,2007,N,54,WV,West Virginia,24,Y,Annual 80% 2004-2007 current area and volume; ,2008-04-15 11:29:03,2021-05-03 10:18:09,6,4,270781652732862
170574761010661,2008,N,54,WV,West Virginia,24,Y,Annual 100% 2004-2008 current area and volume;  2000 to 2004-2008 periodic to annual growth removals and mortality,2008-11-20 10:49:53,2021-05-03 10:18:09,6,5,270781652732862
144953204010661,2009,N,54,WV,West Virginia,24,Y,Annual 100% 2005-2009 current area and volume; 20% annual remeasurement complete; GRM estimates for 20% annual remeasurement.,2008-05-16 13:03:07,2021-05-03 10:18:09,7,1,270781652732862
168855243010661,2010,N,54,WV,West Virginia,24,Y,Annual 100% 2006-2010 current area and volume; 40% annual remeasurement complete; GRM estimates for 40% annual remeasurement.,2008-10-27 10:42:14,2021-05-03 10:18:09,7,2,270781652732862
222518937010661,2011,N,54,WV,West Virginia,24,Y,Annual 100% 2007-2011 current area and volume; 60% annual remeasurement complete; GRM estimates for 60% annual remeasurement.,2010-01-14 09:13:26,2021-05-03 10:18:09,7,3,270781652732862
247065102010661,2012,N,54,WV,West Virginia,24,Y,,2011-03-29 06:57:11,2021-05-03 10:18:09,7,4,270781652732862
16366839020004,2013,N,54,WV,West Virginia,24,Y,Annual:100% 2009-2013 current area and volume; 100% growth removals and mortality,2012-01-26 07:49:40,2021-05-03 10:18:09,7,5,270781652732862
171918508020004,2014,N,54,WV,West Virginia,24,Y,; Survey modified from 14 subpanels to 10 subpanels on 02-DEC-13 by MAH; Annual:100% 2009-2014 current area and volume; 100% growth removals and mortality,2013-01-30 10:32:56,2021-05-03 10:18:09,8,1,270781652732862
221592224020004,2015,N,54,WV,West Virginia,24,Y,Annual 100% current area and volume; 100% growth removals and mortality; 2012-2015 advanced tree regeneration on P2 plus subsample (12%); Survey includes 10 subpanels for inventory years 2010-2015. 3X intensification on Monongahela National Forest.,2013-12-02 20:23:05,2021-05-03 10:18:09,8,2,270781652732862
306291553489998,2016,N,54,WV,West Virginia,24,Y,Annual 100% current area and volume; 100% growth removals and mortality; 2012-2015 advanced tree regeneration on P2 plus subsample (12%); Survey includes 10 subpanels for inventory years 2010-2015. 3X intensification on Monongahela National Forest.,2015-02-20 09:29:51,2021-05-03 10:18:09,8,3,270781652732862
362496599489998,2017,N,54,WV,West Virginia,24,Y,Annual 100% current area and volume; 100% growth removals and mortality; 2012-2017 advanced tree regeneration on P2 plus subsample (12%); Survey includes 10 subpanels for inventory years 2011-2017. 3X intensification on Monongahela National Forest.,2015-11-30 08:42:01,2021-05-03 10:18:09,8,4,270781652732862
444152966489998,2018,N,54,WV,West Virginia,24,Y,Annual 100% current area and volume; 100% growth removals and mortality; 2012-2018 advanced tree regeneration on P2 plus subsample (12%); Survey includes 10 subpanels for inventory years 2012-2018. 3X intensification on Monongahela National Forest.  3x intensification on George Washington-Jefferson National Forest.,2017-01-17 11:39:31,2021-05-03 10:18:09,8,5,270781652732862
