CN,STATECD,INVYR,UNITCD,COUNTYCD,PLOT,LAT,LON,CONGCD,ECOSUBCD,HUC,EMAP_HEX,FIPSCOUNTY,ROADLESSCD,CREATED_DATE,MODIFIED_DATE,ALP_ADFORCD,FVS_VARIANT,FVS_LOC_CD,FVS_REGION,FVS_FOREST,FVS_DISTRICT,ECO_UNIT_PNW,PRECIPITATION
306336188489998,54.0,2016.0,3.0,55.0,2156.0,37.498746,-81.005264,5401.0,M221Be,5050002.0,3668.0,54055.0,,2026-07-06 08:30:10,,,NE,921,9,21,,,
306336190489998,54.0,2016.0,2.0,57.0,129.0,39.497853,-78.850859,5402.0,M221Ac,2070002.0,3150.0,54057.0,,2026-07-06 08:30:10,,,NE,921,9,21,,,
306336191489998,54.0,2016.0,2.0,57.0,178.0,39.446328,-79.062035,5402.0,M221Bf,2070002.0,3276.0,54057.0,,2026-07-06 08:30:10,,,NE,921,9,21,,,
306336192489998,54.0,2016.0,2.0,57.0,2155.0,39.352971,-78.950328,5402.0,M221Ac,2070002.0,3276.0,54057.0,,2026-07-06 08:30:10,,,NE,921,9,21,,,
306336204489998,54.0,2016.0,2.0,101.0,1896.0,38.506461,-80.323162,5401.0,M221Bb,5050007.0,3663.0,54101.0,,2026-07-06 08:30:10,,,NE,921,9,21,,,
306336219489998,54.0,2016.0,3.0,67.0,1306.0,38.252897,-80.641371,5401.0,M221Cb,5050005.0,3665.0,54067.0,,2026-07-06 08:30:10,,,NE,921,9,21,,,
306336227489998,54.0,2016.0,2.0,77.0,2255.0,39.373785,-79.586297,5402.0,M221Bb,5020004.0,3531.0,54077.0,,2026-07-06 08:30:11,,,NE,921,9,21,,,
306336251489998,54.0,2016.0,3.0,55.0,2002.0,37.273684,-81.271909,5401.0,M221Aa,5050002.0,3799.0,54055.0,,2026-07-06 08:30:11,,,NE,921,9,21,,,
306336258489998,54.0,2016.0,2.0,71.0,1353.0,38.679832,-79.454563,5401.0,M221Aa,2070001.0,3279.0,54071.0,,2026-07-06 08:30:11,,,NE,921,9,21,,,
306336303489998,54.0,2016.0,2.0,3.0,2388.0,39.529306,-77.833279,5402.0,M221Ab,2070004.0,2778.0,54003.0,,2026-07-06 08:30:11,,,NE,921,9,21,,,
306336305489998,54.0,2016.0,2.0,3.0,1405.0,39.575422,-77.926625,5402.0,M221Ab,2070004.0,2778.0,54003.0,,2026-07-06 08:30:11,,,NE,921,9,21,,,
306336306489998,54.0,2016.0,2.0,3.0,1892.0,39.520455,-78.109051,5402.0,M221Ac,2070004.0,2901.0,54003.0,,2026-07-06 08:30:11,,,NE,921,9,21,,,
306336332489998,54.0,2016.0,2.0,71.0,5122.0,38.778498,-79.502395,5401.0,M221Ba,2070001.0,3279.0,54071.0,1C,2026-07-06 08:30:11,,921.0,NE,921,9,21,,,
306336343489998,54.0,2016.0,3.0,25.0,6714.0,37.973456,-80.278349,5401.0,M221Bd,5050003.0,3537.0,54025.0,,2026-07-06 08:30:11,,921.0,NE,921,9,21,,,
306336136489998,54.0,2016.0,4.0,99.0,505.0,37.871303,-82.40698,5401.0,M221Ca,5070201.0,4460.0,54099.0,,2026-07-06 08:30:11,,,NE,921,9,21,,,
306336264489998,54.0,2016.0,2.0,75.0,243.0,38.204507,-80.152028,5401.0,M221Bc,5050003.0,3536.0,54075.0,,2026-07-06 08:30:11,,,NE,921,9,21,,,
306336017489998,54.0,2016.0,2.0,75.0,3599.0,38.280158,-79.996616,5401.0,M221Bd,5050003.0,3408.0,54075.0,,2026-07-06 08:30:11,,921.0,NE,921,9,21,,,
306336052489998,54.0,2016.0,2.0,23.0,1196.0,39.068363,-79.104712,5402.0,M221Ac,2070001.0,3277.0,54023.0,,2026-07-06 08:30:11,,,NE,921,9,21,,,
306336033489998,54.0,2016.0,2.0,77.0,1812.0,39.261184,-79.621447,5402.0,M221Bb,5020004.0,3531.0,54077.0,,2026-07-06 08:30:11,,,NE,921,9,21,,,
306336049489998,54.0,2016.0,2.0,71.0,651.0,38.775251,-79.210109,5401.0,M221Aa,2070001.0,3153.0,54071.0,,2026-07-06 08:30:11,,,NE,921,9,21,,,
306336069489998,54.0,2016.0,4.0,53.0,1513.0,38.666938,-81.908164,5401.0,221Ec,5050008.0,4322.0,54053.0,,2026-07-06 08:30:11,,,NE,921,9,21,,,
306336075489998,54.0,2016.0,3.0,5.0,1639.0,37.926128,-81.583939,5401.0,M221Ca,5050009.0,4059.0,54005.0,,2026-07-06 08:30:11,,,NE,921,9,21,,,
306336090489998,54.0,2016.0,3.0,39.0,2412.0,38.282938,-81.600415,5401.0,M221Ca,5050006.0,4190.0,54039.0,,2026-07-06 08:30:11,,,NE,921,9,21,,,
306336098489998,54.0,2016.0,4.0,51.0,1017.0,39.879238,-80.656991,5402.0,221Ea,5030106.0,4050.0,54051.0,,2026-07-06 08:30:11,,,NE,921,9,21,,,
306336100489998,54.0,2016.0,4.0,87.0,298.0,38.633371,-81.477629,5401.0,221Ea,5050008.0,4188.0,54087.0,,2026-07-06 08:30:11,,,NE,921,9,21,,,
306336112489998,54.0,2016.0,4.0,43.0,1677.0,38.060126,-82.031833,5401.0,221Eb,5070102.0,4325.0,54043.0,,2026-07-06 08:30:11,,,NE,921,9,21,,,
306336142489998,54.0,2016.0,4.0,73.0,1771.0,39.418437,-81.051694,5402.0,221Ec,5030201.0,4185.0,54073.0,,2026-07-06 08:30:11,,,NE,921,9,21,,,
306336144489998,54.0,2016.0,4.0,85.0,1999.0,39.271434,-80.958723,5402.0,221Ea,5030203.0,4053.0,54085.0,,2026-07-06 08:30:11,,,NE,921,9,21,,,
374961516489998,54.0,2017.0,2.0,37.0,287.0,39.316277,-77.771349,5402.0,M221Ab,2070004.0,2779.0,54037.0,,2026-07-06 08:30:15,,,NE,921,9,21,,,
374961524489998,54.0,2017.0,2.0,27.0,48.0,39.380934,-78.446446,5402.0,M221Aa,2070003.0,3025.0,54027.0,,2026-07-06 08:30:15,,,NE,921,9,21,,,
374961530489998,54.0,2017.0,2.0,65.0,2244.0,39.505339,-78.296422,5402.0,M221Ac,2070004.0,3025.0,54065.0,,2026-07-06 08:30:15,,,NE,921,9,21,,,
374961532489998,54.0,2017.0,2.0,31.0,229.0,38.977957,-78.604106,5402.0,M221Aa,2070003.0,3027.0,54031.0,1B,2026-07-06 08:30:15,,808.0,SN,80804,8,8,4,,
374961538489998,54.0,2017.0,3.0,39.0,386.0,38.386632,-81.358542,5401.0,221Ea,5050007.0,4057.0,54039.0,,2026-07-06 08:30:15,,,NE,921,9,21,,,
306336175489998,54.0,2016.0,2.0,33.0,428.0,39.254975,-80.47195,5402.0,221Ea,5020002.0,3921.0,54033.0,,2026-07-06 08:30:11,,,NE,921,9,21,,,
374961522489998,54.0,2017.0,2.0,27.0,688.0,39.437262,-78.362163,5402.0,M221Ac,2070003.0,3025.0,54027.0,,2026-07-06 08:30:26,,,NE,921,9,21,,,
374961526489998,54.0,2017.0,2.0,27.0,723.0,39.206699,-78.47716,5402.0,M221Ac,2070003.0,3026.0,54027.0,,2026-07-06 08:30:26,,,NE,921,9,21,,,
374961546489998,54.0,2017.0,3.0,67.0,245.0,38.299316,-80.921734,5401.0,M221Ca,5050005.0,3925.0,54067.0,,2026-07-06 08:30:26,,,NE,921,9,21,,,
374961561489998,54.0,2017.0,2.0,93.0,5715.0,39.050219,-79.659591,5402.0,M221Bb,5020004.0,3532.0,54093.0,,2026-07-06 08:30:26,,921.0,NE,921,9,21,,,
374961573489998,54.0,2017.0,2.0,101.0,8492.0,38.374625,-80.324635,5401.0,M221Bc,5050005.0,3664.0,54101.0,,2026-07-06 08:30:26,,921.0,NE,921,9,21,,,
374961577489998,54.0,2017.0,2.0,75.0,7882.0,38.067457,-79.991539,5401.0,M221Bd,5050003.0,3409.0,54075.0,,2026-07-06 08:30:26,,921.0,NE,921,9,21,,,
374961591489998,54.0,2017.0,2.0,75.0,7822.0,38.449824,-79.83765,5401.0,M221Bd,5050003.0,3407.0,54075.0,,2026-07-06 08:30:26,,921.0,NE,921,9,21,,,
374961594489998,54.0,2017.0,2.0,93.0,8327.0,39.073874,-79.680889,5402.0,M221Bb,5020004.0,3532.0,54093.0,,2026-07-06 08:30:26,,921.0,NE,921,9,21,,,
374961597489998,54.0,2017.0,2.0,71.0,7782.0,38.609042,-79.582399,5401.0,M221Ba,2070001.0,3280.0,54071.0,,2026-07-06 08:30:26,,921.0,NE,921,9,21,,,
374961180489998,54.0,2017.0,4.0,85.0,347.0,39.103541,-80.982428,5402.0,221Ea,5030203.0,4053.0,54085.0,,2026-07-06 08:30:26,,,NE,921,9,21,,,
374961185489998,54.0,2017.0,2.0,77.0,589.0,39.414993,-79.700033,5402.0,M221Bb,5020004.0,3531.0,54077.0,,2026-07-06 08:30:26,,,NE,921,9,21,,,
374961192489998,54.0,2017.0,3.0,15.0,1525.0,38.47329,-81.177489,5401.0,221Ea,5050007.0,4056.0,54015.0,,2026-07-06 08:30:26,,,NE,921,9,21,,,
374961207489998,54.0,2017.0,4.0,105.0,2163.0,39.020463,-81.423127,5401.0,221Ec,5030203.0,4187.0,54105.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961211489998,54.0,2017.0,4.0,79.0,1086.0,38.393633,-82.000888,5401.0,221Eb,5050008.0,4323.0,54079.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961220489998,54.0,2017.0,4.0,9.0,1468.0,40.57338,-80.648321,5402.0,221Ea,5030101.0,4180.0,54029.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961223489998,54.0,2017.0,4.0,61.0,997.0,39.631187,-80.122197,5402.0,221Ea,5020003.0,3788.0,54061.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961224489998,54.0,2017.0,4.0,61.0,760.0,39.578134,-80.091959,5402.0,221Ea,5020003.0,3789.0,54061.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961256489998,54.0,2017.0,2.0,77.0,2082.0,39.341702,-79.737574,5402.0,M221Bb,5020001.0,3531.0,54077.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961266489998,54.0,2017.0,2.0,93.0,2198.0,39.101172,-79.683817,5402.0,M221Bb,5020004.0,3532.0,54093.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961275489998,54.0,2017.0,2.0,83.0,806.0,38.648534,-79.897509,5402.0,M221Bc,5020004.0,3534.0,54083.0,,2026-07-06 08:30:27,,921.0,NE,921,9,21,,,
374961288489998,54.0,2017.0,2.0,71.0,822.0,38.863596,-79.333559,5401.0,M221Aa,2070001.0,3278.0,54071.0,,2026-07-06 08:30:27,,921.0,NE,921,9,21,,,
374961301489998,54.0,2017.0,3.0,109.0,2285.0,37.53669,-81.601518,5401.0,M221Cb,5070101.0,4060.0,54109.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961305489998,54.0,2017.0,3.0,47.0,1295.0,37.447206,-81.898719,5401.0,M221Ca,5070201.0,4061.0,54047.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961330489998,54.0,2017.0,4.0,43.0,2281.0,38.105746,-82.0364,5401.0,221Eb,5070102.0,4324.0,54043.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961407489998,54.0,2017.0,3.0,81.0,1414.0,37.685863,-80.895181,5401.0,M221Be,5050004.0,3667.0,54081.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961427489998,54.0,2017.0,4.0,73.0,66.0,39.312111,-81.235563,5402.0,221Ec,5030201.0,4185.0,54073.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961429489998,54.0,2017.0,4.0,85.0,1752.0,39.154277,-81.31749,5402.0,221Ec,5030203.0,4186.0,54085.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961431489998,54.0,2017.0,4.0,13.0,2669.0,38.924814,-81.25358,5401.0,221Ec,5030203.0,4187.0,54013.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961433489998,54.0,2017.0,4.0,35.0,1005.0,38.936886,-81.581639,5401.0,221Ec,5030202.0,4321.0,54035.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961439489998,54.0,2017.0,3.0,25.0,2174.0,37.966907,-80.744739,5401.0,M221Bc,5050005.0,3666.0,54025.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961444489998,54.0,2017.0,3.0,63.0,173.0,37.595485,-80.358285,5401.0,M221Aa,5050003.0,3411.0,54063.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961451489998,54.0,2017.0,3.0,15.0,654.0,38.53493,-81.125306,5401.0,221Ea,5050007.0,4056.0,54015.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961457489998,54.0,2017.0,3.0,19.0,2050.0,37.84594,-80.948815,5401.0,M221Cb,5050004.0,3796.0,54019.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961459489998,54.0,2017.0,3.0,81.0,1666.0,37.80275,-81.023462,5401.0,M221Cb,5050004.0,3796.0,54081.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961460489998,54.0,2017.0,3.0,81.0,518.0,37.762386,-81.021377,5401.0,M221Cb,5050004.0,3797.0,54081.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961466489998,54.0,2017.0,4.0,49.0,978.0,39.426831,-80.028507,5402.0,221Ea,5020003.0,3660.0,54049.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961470489998,54.0,2017.0,2.0,1.0,401.0,39.031286,-80.042328,5402.0,M221Bb,5020001.0,3661.0,54001.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961471489998,54.0,2017.0,3.0,81.0,787.0,37.679555,-81.213257,5401.0,M221Cb,5070101.0,3797.0,54081.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961472489998,54.0,2017.0,3.0,55.0,1776.0,37.372969,-81.04707,5401.0,M221Be,5050002.0,3669.0,54055.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961478489998,54.0,2017.0,4.0,49.0,758.0,39.509245,-80.318068,5402.0,221Ea,5020003.0,3789.0,54049.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961482489998,54.0,2017.0,2.0,33.0,2026.0,39.131656,-80.365219,5402.0,221Ea,5020002.0,3791.0,54033.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961490489998,54.0,2017.0,2.0,101.0,1692.0,38.426864,-80.231047,5401.0,M221Bc,5050005.0,3535.0,54101.0,,2026-07-06 08:30:27,,,NE,921,9,21,,,
374961491489998,54.0,2017.0,2.0,75.0,1981.0,38.350762,-80.237239,5401.0,M221Bc,5050005.0,3535.0,54075.0,1C,2026-07-06 08:30:27,,921.0,NE,921,9,21,,,
374961506489998,54.0,2017.0,2.0,93.0,1245.0,39.002555,-79.410022,5402.0,M221Ba,5020004.0,3278.0,54093.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961508489998,54.0,2017.0,2.0,83.0,845.0,39.097628,-79.793369,5402.0,M221Bb,5020001.0,3532.0,54083.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961514489998,54.0,2017.0,2.0,27.0,1188.0,39.522604,-78.639145,5402.0,M221Ac,2070002.0,3150.0,54027.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961515489998,54.0,2017.0,2.0,57.0,1661.0,39.531163,-78.782825,5402.0,M221Ac,2070002.0,3150.0,54057.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961517489998,54.0,2017.0,2.0,65.0,541.0,39.644827,-78.067688,5402.0,M221Ac,2070004.0,2900.0,54065.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961518489998,54.0,2017.0,2.0,3.0,1336.0,39.577182,-78.115723,5402.0,M221Ac,2070004.0,2901.0,54003.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961534489998,54.0,2017.0,2.0,37.0,2387.0,39.477008,-77.824976,5402.0,M221Ab,2070004.0,2778.0,54037.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961535489998,54.0,2017.0,2.0,37.0,251.0,39.403692,-77.865821,5402.0,M221Ab,2070004.0,2779.0,54037.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961536489998,54.0,2017.0,2.0,37.0,499.0,39.313062,-77.928245,5402.0,M221Ab,2070004.0,2779.0,54037.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961544489998,54.0,2017.0,3.0,25.0,2048.0,38.056307,-80.546809,5401.0,M221Bc,5050005.0,3665.0,54025.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961545489998,54.0,2017.0,3.0,67.0,1412.0,38.130335,-80.670859,5401.0,M221Bc,5050005.0,3665.0,54067.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961550489998,54.0,2017.0,2.0,75.0,5208.0,38.351778,-80.147619,5401.0,M221Bc,5050005.0,3535.0,54075.0,1C,2026-07-06 08:30:28,,921.0,NE,921,9,21,,,
374961331489998,54.0,2017.0,3.0,45.0,41.0,37.946049,-82.072072,5401.0,M221Ca,5070102.0,4325.0,54045.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961340489998,54.0,2017.0,4.0,13.0,906.0,38.917068,-81.106589,5401.0,221Ea,5030203.0,4054.0,54013.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961348489998,54.0,2017.0,4.0,103.0,163.0,39.599961,-80.607317,5402.0,221Ea,5030201.0,4051.0,54103.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961351489998,54.0,2017.0,4.0,99.0,883.0,37.937988,-82.388758,5401.0,221Eb,5090102.0,4460.0,54099.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961359489998,54.0,2017.0,4.0,85.0,1961.0,39.247445,-80.912112,5402.0,221Ea,5030203.0,4053.0,54085.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961366489998,54.0,2017.0,3.0,45.0,1248.0,37.695138,-81.843626,5401.0,M221Ca,5070101.0,4192.0,54045.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961371489998,54.0,2017.0,4.0,51.0,815.0,39.841732,-80.80198,5402.0,221Ea,5030106.0,4183.0,54051.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961372489998,54.0,2017.0,4.0,51.0,503.0,39.755648,-80.850708,5402.0,221Ea,5030201.0,4183.0,54051.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961384489998,54.0,2017.0,4.0,107.0,146.0,39.091066,-81.675514,5402.0,221Ec,5030202.0,4320.0,54107.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961388489998,54.0,2017.0,3.0,15.0,2130.0,38.382841,-81.188939,5401.0,M221Ca,5050007.0,3925.0,54015.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961415489998,54.0,2017.0,4.0,53.0,144.0,38.943575,-82.075905,5401.0,221Ec,5030202.0,4456.0,54053.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961417489998,54.0,2017.0,4.0,73.0,1669.0,39.385632,-81.201611,5402.0,221Ec,5030201.0,4185.0,54073.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961418489998,54.0,2017.0,2.0,97.0,1922.0,39.063326,-80.237949,5402.0,221Ea,5020002.0,3661.0,54097.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961432489998,54.0,2017.0,4.0,87.0,2951.0,38.922867,-81.421292,5401.0,221Ec,5030203.0,4187.0,54087.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961435489998,54.0,2017.0,2.0,101.0,517.0,38.359903,-80.374201,5401.0,M221Bc,5050005.0,3664.0,54101.0,,2026-07-06 08:30:28,,921.0,NE,921,9,21,,,
374961449489998,54.0,2017.0,2.0,7.0,2496.0,38.608278,-80.940468,5401.0,221Ea,5050007.0,3924.0,54007.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961450489998,54.0,2017.0,3.0,15.0,1433.0,38.528524,-80.960995,5401.0,M221Ca,5050007.0,3924.0,54015.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961462489998,54.0,2017.0,4.0,61.0,1459.0,39.659878,-79.907161,5402.0,221Ea,5020003.0,3659.0,54061.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961463489998,54.0,2017.0,2.0,77.0,2000.0,39.480658,-79.814593,5402.0,M221Bb,5020001.0,3659.0,54077.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961481489998,54.0,2017.0,2.0,33.0,1106.0,39.211989,-80.480005,5402.0,221Ea,5020002.0,3921.0,54033.0,,2026-07-06 08:30:28,,,NE,921,9,21,,,
374961510489998,54.0,2017.0,2.0,83.0,2038.0,38.72135,-79.718779,5402.0,M221Ba,5020004.0,3406.0,54083.0,,2026-07-06 08:30:28,,921.0,NE,921,9,21,,,
374961529489998,54.0,2017.0,2.0,65.0,781.0,39.583544,-78.27241,5402.0,M221Ac,2070004.0,3024.0,54065.0,,2026-07-06 08:30:29,,,NE,921,9,21,,,
374961531489998,54.0,2017.0,2.0,31.0,2313.0,39.14011,-78.681039,5402.0,M221Ac,2070003.0,3027.0,54031.0,,2026-07-06 08:30:29,,,NE,921,9,21,,,
374961541489998,54.0,2017.0,3.0,45.0,402.0,37.852942,-81.927898,5401.0,M221Ca,5070101.0,4192.0,54045.0,,2026-07-06 08:30:29,,,NE,921,9,21,,,
374961549489998,54.0,2017.0,3.0,67.0,5055.0,38.239748,-80.540521,5401.0,M221Cb,5050005.0,3665.0,54067.0,,2026-07-06 08:30:29,,921.0,NE,921,9,21,,,
374961551489998,54.0,2017.0,2.0,75.0,5210.0,38.368813,-80.264101,5401.0,M221Bc,5050005.0,3535.0,54075.0,1C,2026-07-06 08:30:29,,921.0,NE,921,9,21,,,
374961553489998,54.0,2017.0,2.0,93.0,5710.0,39.113719,-79.740412,5402.0,M221Bb,5020004.0,3532.0,54093.0,,2026-07-06 08:30:29,,921.0,NE,921,9,21,,,
374961557489998,54.0,2017.0,2.0,75.0,5200.0,38.388332,-79.873218,5401.0,M221Bd,5050003.0,3407.0,54075.0,,2026-07-06 08:30:29,,921.0,NE,921,9,21,,,
374961562489998,54.0,2017.0,2.0,75.0,6154.0,38.458502,-79.772833,5401.0,M221Bd,5050003.0,3407.0,54075.0,,2026-07-06 08:30:29,,921.0,NE,921,9,21,,,
374961564489998,54.0,2017.0,2.0,23.0,4054.0,38.948448,-79.329165,5402.0,M221Aa,2070001.0,3278.0,54023.0,,2026-07-06 08:30:29,,921.0,NE,921,9,21,,,
374961570489998,54.0,2017.0,2.0,75.0,5180.0,38.674111,-79.812924,5401.0,M221Bc,5050003.0,3406.0,54075.0,,2026-07-06 08:30:29,,921.0,NE,921,9,21,,,
374961181489998,54.0,2017.0,4.0,9.0,1117.0,40.318183,-80.585663,5402.0,221Ea,5030101.0,4181.0,54009.0,,2026-07-06 08:30:29,,,NE,921,9,21,,,
374961552489998,54.0,2017.0,2.0,75.0,5231.0,38.281583,-80.328118,5401.0,M221Bc,5050005.0,3536.0,54075.0,,2026-07-06 08:30:29,,921.0,NE,921,9,21,,,
374961554489998,54.0,2017.0,2.0,83.0,5495.0,38.733321,-79.92982,5402.0,M221Bb,5020001.0,3534.0,54083.0,,2026-07-06 08:30:29,,921.0,NE,921,9,21,,,
374961556489998,54.0,2017.0,2.0,75.0,5191.0,38.440324,-79.940542,5401.0,M221Bc,5050003.0,3407.0,54075.0,,2026-07-06 08:30:29,,921.0,NE,921,9,21,,,
374961580489998,54.0,2017.0,2.0,83.0,8104.0,38.680838,-79.73029,5402.0,M221Ba,5020004.0,3406.0,54083.0,,2026-07-06 08:30:29,,921.0,NE,921,9,21,,,
374961585489998,54.0,2017.0,2.0,93.0,8811.0,38.988201,-79.399556,5402.0,M221Ba,5020004.0,3278.0,54093.0,,2026-07-06 08:30:29,,921.0,NE,921,9,21,,,
374961587489998,54.0,2017.0,2.0,71.0,7749.0,38.765958,-79.505304,5401.0,M221Ba,2070001.0,3279.0,54071.0,1C,2026-07-06 08:30:29,,921.0,NE,921,9,21,,,
374961166489998,54.0,2017.0,2.0,33.0,2377.0,39.281468,-80.425456,5402.0,221Ea,5020002.0,3790.0,54033.0,,2026-07-06 08:30:29,,,NE,921,9,21,,,
374961171489998,54.0,2017.0,3.0,109.0,1070.0,37.611365,-81.410358,5401.0,M221Cb,5070101.0,3928.0,54109.0,,2026-07-06 08:30:29,,,NE,921,9,21,,,
374961172489998,54.0,2017.0,2.0,93.0,1199.0,39.256858,-79.728512,5402.0,M221Bb,5020004.0,3531.0,54093.0,,2026-07-06 08:30:29,,,NE,921,9,21,,,
