CN,PLT_CN,VVT_CN,VSB_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,QUADRAT,CONDID,QUADRAT_STATUS,QUADRAT_STATUS_PRE2004,TRAMPLING,CREATED_DATE,MODIFIED_DATE
218416140010661,122560562010661,218416150010661,218416148010661,2007,54,13,1984,3,2,1,1,,1,2009-10-30 10:22:37,
218416144010661,122560562010661,218416150010661,218416148010661,2007,54,13,1984,3,3,1,1,,1,2009-10-30 10:22:37,
218416137010661,122560562010661,218416150010661,218416149010661,2007,54,13,1984,4,1,1,1,,1,2009-10-30 10:22:37,
218416141010661,122560562010661,218416150010661,218416149010661,2007,54,13,1984,4,2,1,1,,1,2009-10-30 10:22:37,
218416145010661,122560562010661,218416150010661,218416149010661,2007,54,13,1984,4,3,1,1,,1,2009-10-30 10:22:37,
218415197010661,122560452010661,218415213010661,218415209010661,2007,54,15,1739,1,1,1,1,,1,2009-10-30 10:22:38,
218415201010661,122560452010661,218415213010661,218415209010661,2007,54,15,1739,1,2,1,1,,1,2009-10-30 10:22:38,
218415205010661,122560452010661,218415213010661,218415209010661,2007,54,15,1739,1,3,1,1,,1,2009-10-30 10:22:38,
218415198010661,122560452010661,218415213010661,218415210010661,2007,54,15,1739,2,1,1,1,,1,2009-10-30 10:22:38,
218415202010661,122560452010661,218415213010661,218415210010661,2007,54,15,1739,2,2,1,1,,1,2009-10-30 10:22:38,
218415206010661,122560452010661,218415213010661,218415210010661,2007,54,15,1739,2,3,1,1,,1,2009-10-30 10:22:38,
218415199010661,122560452010661,218415213010661,218415211010661,2007,54,15,1739,3,1,1,1,,1,2009-10-30 10:22:38,
218415203010661,122560452010661,218415213010661,218415211010661,2007,54,15,1739,3,2,1,1,,1,2009-10-30 10:22:38,
218415207010661,122560452010661,218415213010661,218415211010661,2007,54,15,1739,3,3,1,1,,1,2009-10-30 10:22:38,
218415200010661,122560452010661,218415213010661,218415212010661,2007,54,15,1739,4,1,1,1,,1,2009-10-30 10:22:38,
218415204010661,122560452010661,218415213010661,218415212010661,2007,54,15,1739,4,2,1,1,,1,2009-10-30 10:22:38,
218415208010661,122560452010661,218415213010661,218415212010661,2007,54,15,1739,4,3,1,1,,1,2009-10-30 10:22:38,
218415446010661,122560400010661,218415462010661,218415458010661,2007,54,17,1836,1,1,1,1,,1,2009-10-30 10:22:38,
218415450010661,122560400010661,218415462010661,218415458010661,2007,54,17,1836,1,2,1,1,,1,2009-10-30 10:22:38,
218415454010661,122560400010661,218415462010661,218415458010661,2007,54,17,1836,1,3,1,1,,1,2009-10-30 10:22:38,
218415447010661,122560400010661,218415462010661,218415459010661,2007,54,17,1836,2,1,1,1,,1,2009-10-30 10:22:38,
218415451010661,122560400010661,218415462010661,218415459010661,2007,54,17,1836,2,2,1,1,,1,2009-10-30 10:22:38,
218415455010661,122560400010661,218415462010661,218415459010661,2007,54,17,1836,2,3,1,1,,1,2009-10-30 10:22:38,
218415448010661,122560400010661,218415462010661,218415460010661,2007,54,17,1836,3,1,1,1,,1,2009-10-30 10:22:38,
218415452010661,122560400010661,218415462010661,218415460010661,2007,54,17,1836,3,2,1,1,,1,2009-10-30 10:22:38,
218415456010661,122560400010661,218415462010661,218415460010661,2007,54,17,1836,3,3,1,1,,1,2009-10-30 10:22:38,
218415449010661,122560400010661,218415462010661,218415461010661,2007,54,17,1836,4,1,1,1,,1,2009-10-30 10:22:38,
218415453010661,122560400010661,218415462010661,218415461010661,2007,54,17,1836,4,2,1,1,,1,2009-10-30 10:22:38,
218415457010661,122560400010661,218415462010661,218415461010661,2007,54,17,1836,4,3,1,1,,1,2009-10-30 10:22:38,
218415325010661,122560472010661,218415343010661,218415337010661,2007,54,19,361,1,1,1,1,,1,2009-10-30 10:22:39,
218415329010661,122560472010661,218415343010661,218415337010661,2007,54,19,361,1,2,1,1,,1,2009-10-30 10:22:39,
218415333010661,122560472010661,218415343010661,218415337010661,2007,54,19,361,1,3,1,1,,1,2009-10-30 10:22:39,
218415326010661,122560472010661,218415343010661,218415338010661,2007,54,19,361,2,1,2,1,,1,2009-10-30 10:22:39,
218415330010661,122560472010661,218415343010661,218415338010661,2007,54,19,361,2,2,2,1,,1,2009-10-30 10:22:39,
218415334010661,122560472010661,218415343010661,218415338010661,2007,54,19,361,2,3,2,1,,1,2009-10-30 10:22:39,
218415327010661,122560472010661,218415343010661,218415339010661,2007,54,19,361,3,1,2,1,,1,2009-10-30 10:22:39,
218415331010661,122560472010661,218415343010661,218415339010661,2007,54,19,361,3,2,2,1,,1,2009-10-30 10:22:39,
218415335010661,122560472010661,218415343010661,218415339010661,2007,54,19,361,3,3,2,1,,1,2009-10-30 10:22:39,
218415328010661,122560472010661,218415343010661,218415340010661,2007,54,19,361,4,1,1,1,,1,2009-10-30 10:22:39,
218415332010661,122560472010661,218415343010661,218415340010661,2007,54,19,361,4,2,1,1,,1,2009-10-30 10:22:39,
218415336010661,122560472010661,218415343010661,218415340010661,2007,54,19,361,4,3,1,1,,1,2009-10-30 10:22:39,
218415576010661,122560424010661,218415592010661,218415588010661,2007,54,21,1777,1,1,1,1,,1,2009-10-30 10:22:39,
218415580010661,122560424010661,218415592010661,218415588010661,2007,54,21,1777,1,2,1,1,,1,2009-10-30 10:22:39,
218415584010661,122560424010661,218415592010661,218415588010661,2007,54,21,1777,1,3,1,1,,1,2009-10-30 10:22:39,
218415577010661,122560424010661,218415592010661,218415589010661,2007,54,21,1777,2,1,1,1,,1,2009-10-30 10:22:39,
218415581010661,122560424010661,218415592010661,218415589010661,2007,54,21,1777,2,2,1,1,,1,2009-10-30 10:22:39,
218415585010661,122560424010661,218415592010661,218415589010661,2007,54,21,1777,2,3,1,1,,1,2009-10-30 10:22:39,
218415578010661,122560424010661,218415592010661,218415590010661,2007,54,21,1777,3,1,1,1,,1,2009-10-30 10:22:39,
218415582010661,122560424010661,218415592010661,218415590010661,2007,54,21,1777,3,2,2,2,,,2009-10-30 10:22:39,
218415586010661,122560424010661,218415592010661,218415590010661,2007,54,21,1777,3,3,1,1,,1,2009-10-30 10:22:39,
218415579010661,122560424010661,218415592010661,218415591010661,2007,54,21,1777,4,1,1,1,,1,2009-10-30 10:22:39,
218415583010661,122560424010661,218415592010661,218415591010661,2007,54,21,1777,4,2,1,1,,1,2009-10-30 10:22:39,
218415587010661,122560424010661,218415592010661,218415591010661,2007,54,21,1777,4,3,1,1,,1,2009-10-30 10:22:39,
218417263010661,122560220010661,218417279010661,218417275010661,2007,54,25,677,1,1,1,1,,1,2009-10-30 10:22:40,
218417267010661,122560220010661,218417279010661,218417275010661,2007,54,25,677,1,2,1,1,,1,2009-10-30 10:22:40,
218417271010661,122560220010661,218417279010661,218417275010661,2007,54,25,677,1,3,1,1,,1,2009-10-30 10:22:40,
218417264010661,122560220010661,218417279010661,218417276010661,2007,54,25,677,2,1,1,1,,1,2009-10-30 10:22:40,
218417268010661,122560220010661,218417279010661,218417276010661,2007,54,25,677,2,2,2,2,,1,2009-10-30 10:22:40,
218417272010661,122560220010661,218417279010661,218417276010661,2007,54,25,677,2,3,2,2,,1,2009-10-30 10:22:40,
218417265010661,122560220010661,218417279010661,218417277010661,2007,54,25,677,3,1,1,1,,1,2009-10-30 10:22:40,
218417269010661,122560220010661,218417279010661,218417277010661,2007,54,25,677,3,2,1,1,,1,2009-10-30 10:22:40,
218417273010661,122560220010661,218417279010661,218417277010661,2007,54,25,677,3,3,1,1,,1,2009-10-30 10:22:40,
218417266010661,122560220010661,218417279010661,218417278010661,2007,54,25,677,4,1,1,1,,1,2009-10-30 10:22:40,
218417270010661,122560220010661,218417279010661,218417278010661,2007,54,25,677,4,2,1,1,,1,2009-10-30 10:22:40,
218417274010661,122560220010661,218417279010661,218417278010661,2007,54,25,677,4,3,1,1,,1,2009-10-30 10:22:40,
218415152010661,122560712010661,218415159010661,218415157010661,2007,54,39,2504,3,1,2,1,,1,2009-10-30 10:22:40,
218415153010661,122560712010661,218415159010661,218415157010661,2007,54,39,2504,3,2,2,1,,1,2009-10-30 10:22:40,
218415154010661,122560712010661,218415159010661,218415157010661,2007,54,39,2504,3,3,2,1,,1,2009-10-30 10:22:40,
218416846010661,122561056010661,218416862010661,218416858010661,2007,54,45,284,1,1,1,1,,2,2009-10-30 10:22:40,
218416850010661,122561056010661,218416862010661,218416858010661,2007,54,45,284,1,2,1,1,,1,2009-10-30 10:22:40,
218416854010661,122561056010661,218416862010661,218416858010661,2007,54,45,284,1,3,1,1,,1,2009-10-30 10:22:40,
218416847010661,122561056010661,218416862010661,218416859010661,2007,54,45,284,2,1,1,1,,1,2009-10-30 10:22:40,
218416851010661,122561056010661,218416862010661,218416859010661,2007,54,45,284,2,2,1,1,,1,2009-10-30 10:22:40,
218416855010661,122561056010661,218416862010661,218416859010661,2007,54,45,284,2,3,1,1,,1,2009-10-30 10:22:40,
218416848010661,122561056010661,218416862010661,218416860010661,2007,54,45,284,3,1,1,1,,1,2009-10-30 10:22:40,
218416852010661,122561056010661,218416862010661,218416860010661,2007,54,45,284,3,2,1,1,,1,2009-10-30 10:22:40,
218416856010661,122561056010661,218416862010661,218416860010661,2007,54,45,284,3,3,1,1,,1,2009-10-30 10:22:40,
218416849010661,122561056010661,218416862010661,218416861010661,2007,54,45,284,4,1,1,1,,1,2009-10-30 10:22:40,
218416853010661,122561056010661,218416862010661,218416861010661,2007,54,45,284,4,2,1,1,,1,2009-10-30 10:22:40,
218416857010661,122561056010661,218416862010661,218416861010661,2007,54,45,284,4,3,1,1,,1,2009-10-30 10:22:40,
218417388010661,122560278010661,218417404010661,218417400010661,2007,54,49,1524,1,1,1,1,,2,2009-10-30 10:22:41,
218417392010661,122560278010661,218417404010661,218417400010661,2007,54,49,1524,1,2,1,1,,3,2009-10-30 10:22:41,
218417396010661,122560278010661,218417404010661,218417400010661,2007,54,49,1524,1,3,2,2,,,2009-10-30 10:22:41,
218417389010661,122560278010661,218417404010661,218417401010661,2007,54,49,1524,2,1,2,2,,,2009-10-30 10:22:41,
218417393010661,122560278010661,218417404010661,218417401010661,2007,54,49,1524,2,2,2,2,,,2009-10-30 10:22:41,
218417397010661,122560278010661,218417404010661,218417401010661,2007,54,49,1524,2,3,1,1,,1,2009-10-30 10:22:41,
218417390010661,122560278010661,218417404010661,218417402010661,2007,54,49,1524,3,1,1,1,,1,2009-10-30 10:22:41,
218417394010661,122560278010661,218417404010661,218417402010661,2007,54,49,1524,3,2,1,1,,3,2009-10-30 10:22:41,
218417398010661,122560278010661,218417404010661,218417402010661,2007,54,49,1524,3,3,1,1,,3,2009-10-30 10:22:41,
218417391010661,122560278010661,218417404010661,218417403010661,2007,54,49,1524,4,1,2,2,,,2009-10-30 10:22:41,
218417395010661,122560278010661,218417404010661,218417403010661,2007,54,49,1524,4,2,2,2,,,2009-10-30 10:22:41,
218417399010661,122560278010661,218417404010661,218417403010661,2007,54,49,1524,4,3,1,1,,1,2009-10-30 10:22:41,
218416936010661,122561064010661,218416952010661,218416948010661,2007,54,51,785,1,1,1,1,,1,2009-10-30 10:22:41,
218416940010661,122561064010661,218416952010661,218416948010661,2007,54,51,785,1,2,1,1,,1,2009-10-30 10:22:41,
218416944010661,122561064010661,218416952010661,218416948010661,2007,54,51,785,1,3,1,1,,1,2009-10-30 10:22:41,
218416937010661,122561064010661,218416952010661,218416949010661,2007,54,51,785,2,1,1,1,,1,2009-10-30 10:22:41,
218416941010661,122561064010661,218416952010661,218416949010661,2007,54,51,785,2,2,1,1,,1,2009-10-30 10:22:41,
218416945010661,122561064010661,218416952010661,218416949010661,2007,54,51,785,2,3,1,1,,1,2009-10-30 10:22:41,
218416938010661,122561064010661,218416952010661,218416950010661,2007,54,51,785,3,1,1,1,,1,2009-10-30 10:22:41,
218416942010661,122561064010661,218416952010661,218416950010661,2007,54,51,785,3,2,1,1,,1,2009-10-30 10:22:41,
218416946010661,122561064010661,218416952010661,218416950010661,2007,54,51,785,3,3,1,1,,1,2009-10-30 10:22:41,
218416939010661,122561064010661,218416952010661,218416951010661,2007,54,51,785,4,1,2,2,,,2009-10-30 10:22:41,
218416943010661,122561064010661,218416952010661,218416951010661,2007,54,51,785,4,2,2,2,,,2009-10-30 10:22:41,
218416947010661,122561064010661,218416952010661,218416951010661,2007,54,51,785,4,3,2,2,,,2009-10-30 10:22:41,
218416512010661,122560862010661,218416528010661,218416524010661,2007,54,53,1601,1,1,1,1,,1,2009-10-30 10:22:42,
218416516010661,122560862010661,218416528010661,218416524010661,2007,54,53,1601,1,2,1,1,,1,2009-10-30 10:22:42,
218416520010661,122560862010661,218416528010661,218416524010661,2007,54,53,1601,1,3,1,1,,1,2009-10-30 10:22:42,
218416513010661,122560862010661,218416528010661,218416525010661,2007,54,53,1601,2,1,1,1,,1,2009-10-30 10:22:42,
218416517010661,122560862010661,218416528010661,218416525010661,2007,54,53,1601,2,2,1,1,,1,2009-10-30 10:22:42,
218416521010661,122560862010661,218416528010661,218416525010661,2007,54,53,1601,2,3,1,1,,1,2009-10-30 10:22:42,
218416514010661,122560862010661,218416528010661,218416526010661,2007,54,53,1601,3,1,1,1,,1,2009-10-30 10:22:42,
218416518010661,122560862010661,218416528010661,218416526010661,2007,54,53,1601,3,2,1,1,,1,2009-10-30 10:22:42,
218416522010661,122560862010661,218416528010661,218416526010661,2007,54,53,1601,3,3,1,1,,1,2009-10-30 10:22:42,
218416515010661,122560862010661,218416528010661,218416527010661,2007,54,53,1601,4,1,1,1,,1,2009-10-30 10:22:42,
218416519010661,122560862010661,218416528010661,218416527010661,2007,54,53,1601,4,2,1,1,,1,2009-10-30 10:22:42,
218416523010661,122560862010661,218416528010661,218416527010661,2007,54,53,1601,4,3,1,1,,1,2009-10-30 10:22:42,
218415644010661,122560344010661,218415660010661,218415656010661,2007,54,67,2125,1,1,1,1,,1,2009-10-30 10:22:42,
218415648010661,122560344010661,218415660010661,218415656010661,2007,54,67,2125,1,2,1,1,,1,2009-10-30 10:22:42,
218415652010661,122560344010661,218415660010661,218415656010661,2007,54,67,2125,1,3,1,1,,1,2009-10-30 10:22:42,
218415645010661,122560344010661,218415660010661,218415657010661,2007,54,67,2125,2,1,1,1,,1,2009-10-30 10:22:42,
218415649010661,122560344010661,218415660010661,218415657010661,2007,54,67,2125,2,2,1,1,,1,2009-10-30 10:22:42,
218415653010661,122560344010661,218415660010661,218415657010661,2007,54,67,2125,2,3,1,1,,1,2009-10-30 10:22:42,
218415646010661,122560344010661,218415660010661,218415658010661,2007,54,67,2125,3,1,1,1,,1,2009-10-30 10:22:42,
218415650010661,122560344010661,218415660010661,218415658010661,2007,54,67,2125,3,2,1,1,,1,2009-10-30 10:22:42,
218415654010661,122560344010661,218415660010661,218415658010661,2007,54,67,2125,3,3,1,1,,1,2009-10-30 10:22:42,
218415647010661,122560344010661,218415660010661,218415659010661,2007,54,67,2125,4,1,1,1,,1,2009-10-30 10:22:42,
218415651010661,122560344010661,218415660010661,218415659010661,2007,54,67,2125,4,2,1,1,,1,2009-10-30 10:22:42,
218415655010661,122560344010661,218415660010661,218415659010661,2007,54,67,2125,4,3,1,1,,1,2009-10-30 10:22:42,
218415983010661,122559864010661,218415999010661,218415995010661,2007,54,71,525,1,1,1,1,,1,2009-10-30 10:22:42,
218415987010661,122559864010661,218415999010661,218415995010661,2007,54,71,525,1,2,1,1,,1,2009-10-30 10:22:42,
218415991010661,122559864010661,218415999010661,218415995010661,2007,54,71,525,1,3,1,1,,1,2009-10-30 10:22:42,
218415984010661,122559864010661,218415999010661,218415996010661,2007,54,71,525,2,1,1,1,,1,2009-10-30 10:22:42,
218415988010661,122559864010661,218415999010661,218415996010661,2007,54,71,525,2,2,1,1,,1,2009-10-30 10:22:42,
218415992010661,122559864010661,218415999010661,218415996010661,2007,54,71,525,2,3,1,1,,1,2009-10-30 10:22:42,
218415985010661,122559864010661,218415999010661,218415997010661,2007,54,71,525,3,1,1,1,,1,2009-10-30 10:22:42,
218415989010661,122559864010661,218415999010661,218415997010661,2007,54,71,525,3,2,1,1,,1,2009-10-30 10:22:42,
218415993010661,122559864010661,218415999010661,218415997010661,2007,54,71,525,3,3,1,1,,1,2009-10-30 10:22:42,
218415986010661,122559864010661,218415999010661,218415998010661,2007,54,71,525,4,1,1,1,,1,2009-10-30 10:22:42,
218415990010661,122559864010661,218415999010661,218415998010661,2007,54,71,525,4,2,1,1,,1,2009-10-30 10:22:42,
218415994010661,122559864010661,218415999010661,218415998010661,2007,54,71,525,4,3,1,1,,1,2009-10-30 10:22:42,
218415922010661,122559940010661,218415938010661,218415934010661,2007,54,75,2500,1,1,1,1,,1,2009-10-30 10:22:42,
218415926010661,122559940010661,218415938010661,218415934010661,2007,54,75,2500,1,2,1,1,,1,2009-10-30 10:22:42,
218415930010661,122559940010661,218415938010661,218415934010661,2007,54,75,2500,1,3,1,1,,1,2009-10-30 10:22:42,
218415923010661,122559940010661,218415938010661,218415935010661,2007,54,75,2500,2,1,1,1,,2,2009-10-30 10:22:42,
218415927010661,122559940010661,218415938010661,218415935010661,2007,54,75,2500,2,2,1,1,,2,2009-10-30 10:22:42,
218415931010661,122559940010661,218415938010661,218415935010661,2007,54,75,2500,2,3,1,1,,2,2009-10-30 10:22:42,
218415924010661,122559940010661,218415938010661,218415936010661,2007,54,75,2500,3,1,1,1,,1,2009-10-30 10:22:42,
218415928010661,122559940010661,218415938010661,218415936010661,2007,54,75,2500,3,2,1,1,,1,2009-10-30 10:22:42,
218415932010661,122559940010661,218415938010661,218415936010661,2007,54,75,2500,3,3,1,1,,1,2009-10-30 10:22:42,
218415925010661,122559940010661,218415938010661,218415937010661,2007,54,75,2500,4,1,1,1,,1,2009-10-30 10:22:42,
218415929010661,122559940010661,218415938010661,218415937010661,2007,54,75,2500,4,2,1,1,,1,2009-10-30 10:22:42,
218415933010661,122559940010661,218415938010661,218415937010661,2007,54,75,2500,4,3,1,1,,1,2009-10-30 10:22:42,
218417054010661,122560808010661,218417070010661,218417066010661,2007,54,79,879,1,1,1,1,,1,2009-10-30 10:22:43,
218417058010661,122560808010661,218417070010661,218417066010661,2007,54,79,879,1,2,1,1,,1,2009-10-30 10:22:43,
218417062010661,122560808010661,218417070010661,218417066010661,2007,54,79,879,1,3,1,1,,1,2009-10-30 10:22:43,
218417055010661,122560808010661,218417070010661,218417067010661,2007,54,79,879,2,1,1,1,,1,2009-10-30 10:22:43,
218417059010661,122560808010661,218417070010661,218417067010661,2007,54,79,879,2,2,1,1,,1,2009-10-30 10:22:43,
218417063010661,122560808010661,218417070010661,218417067010661,2007,54,79,879,2,3,1,1,,1,2009-10-30 10:22:43,
218417056010661,122560808010661,218417070010661,218417068010661,2007,54,79,879,3,1,1,1,,1,2009-10-30 10:22:43,
218417060010661,122560808010661,218417070010661,218417068010661,2007,54,79,879,3,2,1,1,,1,2009-10-30 10:22:43,
218417064010661,122560808010661,218417070010661,218417068010661,2007,54,79,879,3,3,1,1,,1,2009-10-30 10:22:43,
218417057010661,122560808010661,218417070010661,218417069010661,2007,54,79,879,4,1,1,1,,1,2009-10-30 10:22:43,
218417061010661,122560808010661,218417070010661,218417069010661,2007,54,79,879,4,2,1,1,,1,2009-10-30 10:22:43,
218417065010661,122560808010661,218417070010661,218417069010661,2007,54,79,879,4,3,1,1,,1,2009-10-30 10:22:43,
218417135010661,122560048010661,218417148010661,218417144010661,2007,54,83,112,1,1,1,1,,1,2009-10-30 10:22:43,
218417138010661,122560048010661,218417148010661,218417144010661,2007,54,83,112,1,2,1,1,,1,2009-10-30 10:22:43,
218417141010661,122560048010661,218417148010661,218417144010661,2007,54,83,112,1,3,1,1,,1,2009-10-30 10:22:43,
218417136010661,122560048010661,218417148010661,218417145010661,2007,54,83,112,2,1,1,1,,1,2009-10-30 10:22:43,
218417139010661,122560048010661,218417148010661,218417145010661,2007,54,83,112,2,2,1,1,,1,2009-10-30 10:22:43,
218417142010661,122560048010661,218417148010661,218417145010661,2007,54,83,112,2,3,1,1,,1,2009-10-30 10:22:43,
218417137010661,122560048010661,218417148010661,218417146010661,2007,54,83,112,3,1,1,1,,1,2009-10-30 10:22:43,
218417140010661,122560048010661,218417148010661,218417146010661,2007,54,83,112,3,2,1,1,,1,2009-10-30 10:22:43,
218417143010661,122560048010661,218417148010661,218417146010661,2007,54,83,112,3,3,1,1,,1,2009-10-30 10:22:43,
218416627010661,122560652010661,218416643010661,218416639010661,2007,54,85,240,1,1,1,1,,1,2009-10-30 10:22:43,
218416631010661,122560652010661,218416643010661,218416639010661,2007,54,85,240,1,2,1,1,,1,2009-10-30 10:22:43,
218416635010661,122560652010661,218416643010661,218416639010661,2007,54,85,240,1,3,1,1,,1,2009-10-30 10:22:43,
218416628010661,122560652010661,218416643010661,218416640010661,2007,54,85,240,2,1,1,1,,1,2009-10-30 10:22:43,
218416632010661,122560652010661,218416643010661,218416640010661,2007,54,85,240,2,2,1,1,,1,2009-10-30 10:22:43,
218416636010661,122560652010661,218416643010661,218416640010661,2007,54,85,240,2,3,1,1,,1,2009-10-30 10:22:43,
218416629010661,122560652010661,218416643010661,218416641010661,2007,54,85,240,3,1,1,1,,1,2009-10-30 10:22:43,
218416633010661,122560652010661,218416643010661,218416641010661,2007,54,85,240,3,2,1,1,,1,2009-10-30 10:22:43,
218416637010661,122560652010661,218416643010661,218416641010661,2007,54,85,240,3,3,1,1,,1,2009-10-30 10:22:43,
218416630010661,122560652010661,218416643010661,218416642010661,2007,54,85,240,4,1,1,1,,1,2009-10-30 10:22:43,
218416634010661,122560652010661,218416643010661,218416642010661,2007,54,85,240,4,2,1,1,,1,2009-10-30 10:22:43,
218416638010661,122560652010661,218416643010661,218416642010661,2007,54,85,240,4,3,1,1,,1,2009-10-30 10:22:43,
218416288010661,122560682010661,218416304010661,218416300010661,2007,54,87,275,1,1,1,1,,1,2009-10-30 10:22:44,
218416292010661,122560682010661,218416304010661,218416300010661,2007,54,87,275,1,2,1,1,,1,2009-10-30 10:22:44,
218416296010661,122560682010661,218416304010661,218416300010661,2007,54,87,275,1,3,1,1,,1,2009-10-30 10:22:44,
218416289010661,122560682010661,218416304010661,218416301010661,2007,54,87,275,2,1,1,1,,1,2009-10-30 10:22:44,
218416293010661,122560682010661,218416304010661,218416301010661,2007,54,87,275,2,2,1,1,,1,2009-10-30 10:22:44,
218416297010661,122560682010661,218416304010661,218416301010661,2007,54,87,275,2,3,1,1,,1,2009-10-30 10:22:44,
218416290010661,122560682010661,218416304010661,218416302010661,2007,54,87,275,3,1,1,1,,1,2009-10-30 10:22:44,
218416294010661,122560682010661,218416304010661,218416302010661,2007,54,87,275,3,2,1,1,,1,2009-10-30 10:22:44,
218416298010661,122560682010661,218416304010661,218416302010661,2007,54,87,275,3,3,1,1,,1,2009-10-30 10:22:44,
218416291010661,122560682010661,218416304010661,218416303010661,2007,54,87,275,4,1,1,1,,1,2009-10-30 10:22:44,
218416295010661,122560682010661,218416304010661,218416303010661,2007,54,87,275,4,2,1,1,,1,2009-10-30 10:22:44,
218416299010661,122560682010661,218416304010661,218416303010661,2007,54,87,275,4,3,1,1,,1,2009-10-30 10:22:44,
218416741010661,122560248010661,218416757010661,218416753010661,2007,54,89,2204,1,1,1,1,,1,2009-10-30 10:22:44,
218416745010661,122560248010661,218416757010661,218416753010661,2007,54,89,2204,1,2,1,1,,1,2009-10-30 10:22:44,
218416749010661,122560248010661,218416757010661,218416753010661,2007,54,89,2204,1,3,1,1,,1,2009-10-30 10:22:44,
218416742010661,122560248010661,218416757010661,218416754010661,2007,54,89,2204,2,1,1,1,,1,2009-10-30 10:22:44,
218416746010661,122560248010661,218416757010661,218416754010661,2007,54,89,2204,2,2,1,1,,1,2009-10-30 10:22:44,
218416750010661,122560248010661,218416757010661,218416754010661,2007,54,89,2204,2,3,1,1,,1,2009-10-30 10:22:44,
218416743010661,122560248010661,218416757010661,218416755010661,2007,54,89,2204,3,1,1,1,,1,2009-10-30 10:22:44,
218416747010661,122560248010661,218416757010661,218416755010661,2007,54,89,2204,3,2,1,3,,1,2009-10-30 10:22:44,2009-11-18 13:28:53
218416751010661,122560248010661,218416757010661,218416755010661,2007,54,89,2204,3,3,1,1,,1,2009-10-30 10:22:44,
218416744010661,122560248010661,218416757010661,218416756010661,2007,54,89,2204,4,1,1,1,,1,2009-10-30 10:22:44,
218416748010661,122560248010661,218416757010661,218416756010661,2007,54,89,2204,4,2,1,1,,1,2009-10-30 10:22:44,
218416752010661,122560248010661,218416757010661,218416756010661,2007,54,89,2204,4,3,1,1,,1,2009-10-30 10:22:44,
218417173010661,122559922010661,218417189010661,218417185010661,2007,54,93,857,1,1,1,1,,1,2009-10-30 10:22:45,
218417177010661,122559922010661,218417189010661,218417185010661,2007,54,93,857,1,2,1,1,,1,2009-10-30 10:22:45,
218417181010661,122559922010661,218417189010661,218417185010661,2007,54,93,857,1,3,1,1,,1,2009-10-30 10:22:45,
218417174010661,122559922010661,218417189010661,218417186010661,2007,54,93,857,2,1,1,1,,1,2009-10-30 10:22:45,
218417178010661,122559922010661,218417189010661,218417186010661,2007,54,93,857,2,2,1,1,,1,2009-10-30 10:22:45,
218417182010661,122559922010661,218417189010661,218417186010661,2007,54,93,857,2,3,1,1,,1,2009-10-30 10:22:45,
218417175010661,122559922010661,218417189010661,218417187010661,2007,54,93,857,3,1,1,1,,1,2009-10-30 10:22:45,
