CN,PLT_CN,VVT_CN,INVYR,STATECD,COUNTYCD,PLOT,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,SPECIMEN_COLLECTED,SPECIMEN_LABEL_NBR,SPECIMEN_NOT_COLLECTED_REASON,SPECIMEN_RESOLVED,CREATED_DATE,MODIFIED_DATE,UPDATED_UNKNOWN_SPECIES_DATE
218415041010661,122560886010661,218415120010661,2007,54,11,1711,CAREX,3,CAREX,0,,1,,2009-10-30 10:22:37,,
218415042010661,122560886010661,218415120010661,2007,54,11,1711,CAREX,15,CAREX,1,30376.0,,Y,2009-10-30 10:22:37,,
218415043010661,122560886010661,218415120010661,2007,54,11,1711,CAREX,99,CAREX,0,,2,,2009-10-30 10:22:37,,
218415044010661,122560886010661,218415120010661,2007,54,11,1711,CECA4,1,CECA4,0,,,,2009-10-30 10:22:37,,
218415045010661,122560886010661,218415120010661,2007,54,11,1711,CIAL2,1,CIAL2,1,30396.0,,Y,2009-10-30 10:22:37,,
218415046010661,122560886010661,218415120010661,2007,54,11,1711,COFL2,1,COFL2,0,,,,2009-10-30 10:22:37,,
218415047010661,122560886010661,218415120010661,2007,54,11,1711,DACA6,1,DACA6,0,,,,2009-10-30 10:22:37,,
218415048010661,122560886010661,218415120010661,2007,54,11,1711,DAGL,1,DAGL,1,30382.0,,Y,2009-10-30 10:22:37,,
218415049010661,122560886010661,218415120010661,2007,54,11,1711,DESMO,11,DESMO,1,30388.0,,Y,2009-10-30 10:22:37,,
218415050010661,122560886010661,218415120010661,2007,54,11,1711,DICHA2,1,DICHA2,0,,10,,2009-10-30 10:22:37,,
218415051010661,122560886010661,218415120010661,2007,54,11,1711,DIOSC,2,DIOSC,1,30392.0,,Y,2009-10-30 10:22:37,,
218415052010661,122560886010661,218415120010661,2007,54,11,1711,DIVI5,1,DIVI5,0,,,,2009-10-30 10:22:37,,
218415053010661,122560886010661,218415120010661,2007,54,11,1711,ELHY,1,ELHY,1,30371.0,,Y,2009-10-30 10:22:37,,
218415054010661,122560886010661,218415120010661,2007,54,11,1711,FESU3,1,FESU3,1,30370.0,,Y,2009-10-30 10:22:37,,
218415055010661,122560886010661,218415120010661,2007,54,11,1711,FRAM2,1,FRAM2,0,,,,2009-10-30 10:22:37,,
218415056010661,122560886010661,218415120010661,2007,54,11,1711,GECA7,1,GECA7,1,30368.0,,Y,2009-10-30 10:22:37,,
218415057010661,122560886010661,218415120010661,2007,54,11,1711,GEUM,1,GEVI4,1,30366.0,,Y,2009-10-30 10:22:37,,
218415058010661,122560886010661,218415120010661,2007,54,11,1711,HYCA,1,HYCA,0,,,,2009-10-30 10:22:37,,
218415059010661,122560886010661,218415120010661,2007,54,11,1711,HYPER,1,HYPER,1,30384.0,,Y,2009-10-30 10:22:37,,
218415060010661,122560886010661,218415120010661,2007,54,11,1711,LIBE3,1,LIBE3,0,,,,2009-10-30 10:22:37,,
218415061010661,122560886010661,218415120010661,2007,54,11,1711,LITU,1,LITU,0,,,,2009-10-30 10:22:37,,
218415062010661,122560886010661,218415120010661,2007,54,11,1711,LOJA,1,LOJA,0,,,,2009-10-30 10:22:37,,
218415063010661,122560886010661,218415120010661,2007,54,11,1711,ONSE,1,ONSE,0,,,,2009-10-30 10:22:37,,
218415064010661,122560886010661,218415120010661,2007,54,11,1711,OSVI,1,OSVI,0,,,,2009-10-30 10:22:37,,
218415065010661,122560886010661,218415120010661,2007,54,11,1711,OXST,1,OXST,0,,,,2009-10-30 10:22:37,,
218415066010661,122560886010661,218415120010661,2007,54,11,1711,PAQU2,1,PAQU2,0,,,,2009-10-30 10:22:37,,
218415067010661,122560886010661,218415120010661,2007,54,11,1711,PIPU2,1,PIPU2,0,,,,2009-10-30 10:22:37,,
218415068010661,122560886010661,218415120010661,2007,54,11,1711,POA,12,PONE,1,30383.0,,Y,2009-10-30 10:22:37,,
218415069010661,122560886010661,218415120010661,2007,54,11,1711,POAC4,1,POAC4,0,,,,2009-10-30 10:22:37,,
218415070010661,122560886010661,218415120010661,2007,54,11,1711,POLYG4,1,POLYG4,0,,2,,2009-10-30 10:22:37,,
218415071010661,122560886010661,218415120010661,2007,54,11,1711,POVI2,1,POVI2,0,,,,2009-10-30 10:22:37,,
218415072010661,122560886010661,218415120010661,2007,54,11,1711,PRSE2,1,PRSE2,0,,,,2009-10-30 10:22:37,,
218415073010661,122560886010661,218415120010661,2007,54,11,1711,RHCO,1,RHCO,1,30393.0,,Y,2009-10-30 10:22:37,,
218415074010661,122560886010661,218415120010661,2007,54,11,1711,RHGL,1,RHGL,1,30389.0,,Y,2009-10-30 10:22:37,,
218415075010661,122560886010661,218415120010661,2007,54,11,1711,RHUS,1,RHGL,1,30369.0,,Y,2009-10-30 10:22:37,,
218415076010661,122560886010661,218415120010661,2007,54,11,1711,ROMU,1,ROMU,0,,,,2009-10-30 10:22:37,,
218415077010661,122560886010661,218415120010661,2007,54,11,1711,ROPS,1,ROPS,0,,,,2009-10-30 10:22:37,,
218415078010661,122560886010661,218415120010661,2007,54,11,1711,RUAL,1,RUAL,0,,,,2009-10-30 10:22:37,,
218415079010661,122560886010661,218415120010661,2007,54,11,1711,RUBUS,12,RUPH,1,30375.0,,Y,2009-10-30 10:22:37,,
218415080010661,122560886010661,218415120010661,2007,54,11,1711,RUBUS,14,RUBUS,0,,10,,2009-10-30 10:22:37,,
218415081010661,122560886010661,218415120010661,2007,54,11,1711,RUCR,1,RUCR,1,30385.0,,Y,2009-10-30 10:22:37,,
218415082010661,122560886010661,218415120010661,2007,54,11,1711,RUOC,1,RUOC,0,,,,2009-10-30 10:22:37,,
218415083010661,122560886010661,218415120010661,2007,54,11,1711,SAAL5,1,SAAL5,0,,,,2009-10-30 10:22:37,,
218415084010661,122560886010661,218415120010661,2007,54,11,1711,SANIC,11,SACA15,1,30377.0,,Y,2009-10-30 10:22:37,,
218415085010661,122560886010661,218415120010661,2007,54,11,1711,SMGL,1,SMGL,0,,,,2009-10-30 10:22:37,,
218415086010661,122560886010661,218415120010661,2007,54,11,1711,SMILA2,11,SMILA2,1,30373.0,,Y,2009-10-30 10:22:37,,
218415087010661,122560886010661,218415120010661,2007,54,11,1711,SMRO,1,SMRO,0,,,,2009-10-30 10:22:37,,
218415088010661,122560886010661,218415120010661,2007,54,11,1711,SMTA2,1,SMTA2,0,,,,2009-10-30 10:22:37,,
218415089010661,122560886010661,218415120010661,2007,54,11,1711,SOLID,1,SOLID,0,,10,,2009-10-30 10:22:37,,
218415090010661,122560886010661,218415120010661,2007,54,11,1711,SYMPH4,11,SYMPH4,1,30374.0,,Y,2009-10-30 10:22:37,,
218415091010661,122560886010661,218415120010661,2007,54,11,1711,SYMPH4,12,SYMPH4,0,,2,,2009-10-30 10:22:37,,
218415092010661,122560886010661,218415120010661,2007,54,11,1711,SYMPH4,99,SYMPH4,0,,10,,2009-10-30 10:22:37,,
218415093010661,122560886010661,218415120010661,2007,54,11,1711,TORA2,1,TORA2,0,,,,2009-10-30 10:22:37,,
218415094010661,122560886010661,218415120010661,2007,54,11,1711,ULAM,1,ULAM,0,,,,2009-10-30 10:22:37,,
218415095010661,122560886010661,218415120010661,2007,54,11,1711,ULRU,1,ULRU,0,,,,2009-10-30 10:22:37,,
218415096010661,122560886010661,218415120010661,2007,54,11,1711,VEOF2,1,VEOF2,0,,,,2009-10-30 10:22:37,,
218415097010661,122560886010661,218415120010661,2007,54,11,1711,VERBE2,1,VERBE2,1,30395.0,,Y,2009-10-30 10:22:37,,
218415098010661,122560886010661,218415120010661,2007,54,11,1711,VERBE2,2,VERBE2,0,,2,,2009-10-30 10:22:37,,
218415099010661,122560886010661,218415120010661,2007,54,11,1711,VERNO,1,VENO,1,30386.0,,Y,2009-10-30 10:22:37,,
218415100010661,122560886010661,218415120010661,2007,54,11,1711,VETH,1,VETH,0,,,,2009-10-30 10:22:37,,
218415101010661,122560886010661,218415120010661,2007,54,11,1711,VEUR,1,VEUR,1,30379.0,,Y,2009-10-30 10:22:37,,
218415102010661,122560886010661,218415120010661,2007,54,11,1711,VIOLA,1,VIOLA,0,,2,,2009-10-30 10:22:37,,
218415103010661,122560886010661,218415120010661,2007,54,11,1711,VITIS,1,VITIS,0,,3,,2009-10-30 10:22:37,,
218416000010661,122560562010661,218416150010661,2007,54,13,1984,2FD,1,2FD,0,,10,,2009-10-30 10:22:37,,
218416001010661,122560562010661,218416150010661,2007,54,13,1984,2FD,2,ERHI12,1,30072.0,,Y,2009-10-30 10:22:37,2018-12-12 09:55:14,
218416002010661,122560562010661,218416150010661,2007,54,13,1984,2FD,3,SCELE,1,30074.0,,Y,2009-10-30 10:22:37,,
218416003010661,122560562010661,218416150010661,2007,54,13,1984,2FD,4,2FD,0,,10,,2009-10-30 10:22:37,,
218416004010661,122560562010661,218416150010661,2007,54,13,1984,2FD,5,2FD,0,,10,,2009-10-30 10:22:37,,
218416005010661,122560562010661,218416150010661,2007,54,13,1984,2FD,6,2FD,0,,10,,2009-10-30 10:22:37,,
218416006010661,122560562010661,218416150010661,2007,54,13,1984,2FD,7,2FD,0,,10,,2009-10-30 10:22:37,,
218416007010661,122560562010661,218416150010661,2007,54,13,1984,2SHRUB,1,CUOR,1,30073.0,,Y,2009-10-30 10:22:37,,
218416008010661,122560562010661,218416150010661,2007,54,13,1984,ACRU,1,ACRU,0,,,,2009-10-30 10:22:37,,
218416009010661,122560562010661,218416150010661,2007,54,13,1984,ACSA3,1,ACSA3,0,,,,2009-10-30 10:22:37,,
218416010010661,122560562010661,218416150010661,2007,54,13,1984,AGAL5,1,AGAL5,0,,,,2009-10-30 10:22:37,,
218416011010661,122560562010661,218416150010661,2007,54,13,1984,AGPU,1,AGPU,0,,,,2009-10-30 10:22:37,,
218416012010661,122560562010661,218416150010661,2007,54,13,1984,AMAR3,1,AMAR3,0,,,,2009-10-30 10:22:37,,
218416013010661,122560562010661,218416150010661,2007,54,13,1984,AMBR2,1,AMBR2,0,,,,2009-10-30 10:22:38,,
218416014010661,122560562010661,218416150010661,2007,54,13,1984,ANNE,1,ANNE,0,,,,2009-10-30 10:22:38,,
218416015010661,122560562010661,218416150010661,2007,54,13,1984,ANTEN,1,ANTEN,0,,10,,2009-10-30 10:22:38,,
218416016010661,122560562010661,218416150010661,2007,54,13,1984,ARMA7,1,ARMA7,0,,,,2009-10-30 10:22:38,,
218416017010661,122560562010661,218416150010661,2007,54,13,1984,ARSE3,1,ARSE3,0,,,,2009-10-30 10:22:38,,
218416018010661,122560562010661,218416150010661,2007,54,13,1984,ASPL,1,ASPL,0,,,,2009-10-30 10:22:38,,
218416019010661,122560562010661,218416150010661,2007,54,13,1984,ASTER,1,ASTER,0,,10,,2009-10-30 10:22:38,,
218416020010661,122560562010661,218416150010661,2007,54,13,1984,ASTER,2,ASTER,0,,10,,2009-10-30 10:22:38,,
218416021010661,122560562010661,218416150010661,2007,54,13,1984,ASTR,1,ASTR,0,,,,2009-10-30 10:22:38,,
218416022010661,122560562010661,218416150010661,2007,54,13,1984,BOON,1,BOON,0,,,,2009-10-30 10:22:38,,
218416023010661,122560562010661,218416150010661,2007,54,13,1984,BOVI,1,BOVI,0,,,,2009-10-30 10:22:38,,
218416024010661,122560562010661,218416150010661,2007,54,13,1984,BRER2,1,BRER2,0,,,,2009-10-30 10:22:38,,
218416025010661,122560562010661,218416150010661,2007,54,13,1984,CAAL27,1,CATO6,0,,,,2009-10-30 10:22:38,2018-12-12 09:55:14,
218416026010661,122560562010661,218416150010661,2007,54,13,1984,CADI5,1,CADI5,0,,,,2009-10-30 10:22:38,,
218416027010661,122560562010661,218416150010661,2007,54,13,1984,CAGL8,1,CAGL8,0,,,,2009-10-30 10:22:38,,
218416028010661,122560562010661,218416150010661,2007,54,13,1984,CAREX,1,CAHI6,1,30067.0,,Y,2009-10-30 10:22:38,,
218416029010661,122560562010661,218416150010661,2007,54,13,1984,CAREX,2,CAREX,0,,10,,2009-10-30 10:22:38,,
218416030010661,122560562010661,218416150010661,2007,54,13,1984,CAREX,3,CARA8,1,30065.0,,Y,2009-10-30 10:22:38,,
218416031010661,122560562010661,218416150010661,2007,54,13,1984,CAREX,4,CAREX,0,,10,,2009-10-30 10:22:38,,
218416032010661,122560562010661,218416150010661,2007,54,13,1984,CAREX,5,CAREX,0,,10,,2009-10-30 10:22:38,,
218416033010661,122560562010661,218416150010661,2007,54,13,1984,CAREX,6,CAREX,0,,10,,2009-10-30 10:22:38,,
218416034010661,122560562010661,218416150010661,2007,54,13,1984,CAREX,7,CAHI6,1,30066.0,,Y,2009-10-30 10:22:38,,
218416035010661,122560562010661,218416150010661,2007,54,13,1984,CAREX,8,CAREX,0,,10,,2009-10-30 10:22:38,,
218416036010661,122560562010661,218416150010661,2007,54,13,1984,CARYA,1,CARYA,0,,10,,2009-10-30 10:22:38,,
218416037010661,122560562010661,218416150010661,2007,54,13,1984,CECA4,1,CECA4,0,,,,2009-10-30 10:22:38,,
218416038010661,122560562010661,218416150010661,2007,54,13,1984,COAM3,1,COAM3,0,,,,2009-10-30 10:22:38,,
218416039010661,122560562010661,218416150010661,2007,54,13,1984,COFL2,1,COFL2,0,,,,2009-10-30 10:22:38,,
218416040010661,122560562010661,218416150010661,2007,54,13,1984,CRATA,1,CRATA,0,,10,,2009-10-30 10:22:38,,
218416041010661,122560562010661,218416150010661,2007,54,13,1984,CRCA9,1,CRCA9,0,,,,2009-10-30 10:22:38,,
218416042010661,122560562010661,218416150010661,2007,54,13,1984,CYVI,1,CYVI,0,,,,2009-10-30 10:22:38,,
218416043010661,122560562010661,218416150010661,2007,54,13,1984,DACO,1,DACO,0,,,,2009-10-30 10:22:38,,
218416044010661,122560562010661,218416150010661,2007,54,13,1984,DANTH,1,DANTH,0,,10,,2009-10-30 10:22:38,,
218416045010661,122560562010661,218416150010661,2007,54,13,1984,DESMO,1,DESMO,0,,10,,2009-10-30 10:22:38,,
218416046010661,122560562010661,218416150010661,2007,54,13,1984,DIBO2,1,DIBO2,0,,,,2009-10-30 10:22:38,,
218416047010661,122560562010661,218416150010661,2007,54,13,1984,DICHA2,1,DIDI6,1,30071.0,,Y,2009-10-30 10:22:38,,
218416048010661,122560562010661,218416150010661,2007,54,13,1984,DICHA2,2,DILA8,1,30070.0,,Y,2009-10-30 10:22:38,,
218416049010661,122560562010661,218416150010661,2007,54,13,1984,DICHA2,3,DICO2,1,30069.0,,Y,2009-10-30 10:22:38,,
218416050010661,122560562010661,218416150010661,2007,54,13,1984,DILI2,1,DILI2,0,,,,2009-10-30 10:22:38,,
218416051010661,122560562010661,218416150010661,2007,54,13,1984,DIQU,1,DIQU,0,,,,2009-10-30 10:22:38,,
218416052010661,122560562010661,218416150010661,2007,54,13,1984,EUDI16,1,EUDI16,0,,,,2009-10-30 10:22:38,,
218416053010661,122560562010661,218416150010661,2007,54,13,1984,FAGR,1,FAGR,0,,,,2009-10-30 10:22:38,,
218416054010661,122560562010661,218416150010661,2007,54,13,1984,FESTU,1,FESTU,0,,10,,2009-10-30 10:22:38,,
218416055010661,122560562010661,218416150010661,2007,54,13,1984,FRAM2,1,FRAM2,0,,,,2009-10-30 10:22:38,,
218416056010661,122560562010661,218416150010661,2007,54,13,1984,GAAP2,1,GAAP2,0,,,,2009-10-30 10:22:38,,
218416057010661,122560562010661,218416150010661,2007,54,13,1984,GABA,1,GABA,0,,,,2009-10-30 10:22:38,,
218416058010661,122560562010661,218416150010661,2007,54,13,1984,GACI2,1,GACI2,0,,,,2009-10-30 10:22:38,,
218416059010661,122560562010661,218416150010661,2007,54,13,1984,GAPR2,1,GAPR2,0,,,,2009-10-30 10:22:38,,
218416060010661,122560562010661,218416150010661,2007,54,13,1984,GEUM,1,GEUM,0,,10,,2009-10-30 10:22:38,,
218416061010661,122560562010661,218416150010661,2007,54,13,1984,GEUM,2,AGRO3,1,30075.0,,Y,2009-10-30 10:22:38,,
218416062010661,122560562010661,218416150010661,2007,54,13,1984,GEVE,1,GEVE,0,,,,2009-10-30 10:22:38,,
218416063010661,122560562010661,218416150010661,2007,54,13,1984,GEVI4,1,GEVI4,0,,,,2009-10-30 10:22:38,,
218416064010661,122560562010661,218416150010661,2007,54,13,1984,GEVI4,2,GEVI4,0,,,,2009-10-30 10:22:38,,
218416065010661,122560562010661,218416150010661,2007,54,13,1984,HAVI4,1,HAVI4,0,,,,2009-10-30 10:22:38,,
218416066010661,122560562010661,218416150010661,2007,54,13,1984,HENOO,1,HENOO,0,,,,2009-10-30 10:22:38,,
218416067010661,122560562010661,218416150010661,2007,54,13,1984,HIVE,1,HIVE,0,,,,2009-10-30 10:22:38,,
218416068010661,122560562010661,218416150010661,2007,54,13,1984,HYHYM,1,HYHYM,0,,,,2009-10-30 10:22:38,,
218416069010661,122560562010661,218416150010661,2007,54,13,1984,HYPER,1,HYPER,0,,10,,2009-10-30 10:22:38,,
218416070010661,122560562010661,218416150010661,2007,54,13,1984,JUNI,1,JUNI,0,,,,2009-10-30 10:22:38,,
218416071010661,122560562010661,218416150010661,2007,54,13,1984,LACTU,1,LACTU,0,,10,,2009-10-30 10:22:38,,
218416072010661,122560562010661,218416150010661,2007,54,13,1984,LAPU2,1,LAPU2,0,,,,2009-10-30 10:22:38,,
218416073010661,122560562010661,218416150010661,2007,54,13,1984,LIBE3,1,LIBE3,0,,,,2009-10-30 10:22:38,,
218416074010661,122560562010661,218416150010661,2007,54,13,1984,LITU,1,LITU,0,,,,2009-10-30 10:22:38,,
218416075010661,122560562010661,218416150010661,2007,54,13,1984,LOIN,1,LOIN,0,,,,2009-10-30 10:22:38,,
218416076010661,122560562010661,218416150010661,2007,54,13,1984,LUMU2,1,LUMU2,0,,,,2009-10-30 10:22:38,,
218416077010661,122560562010661,218416150010661,2007,54,13,1984,LYDI3,1,LYDI3,0,,,,2009-10-30 10:22:38,,
218416078010661,122560562010661,218416150010661,2007,54,13,1984,LYQU,1,LYQU,0,,,,2009-10-30 10:22:38,,
218416079010661,122560562010661,218416150010661,2007,54,13,1984,MAAC,1,MAAC,0,,,,2009-10-30 10:22:38,,
218416080010661,122560562010661,218416150010661,2007,54,13,1984,MARAR,1,MARAR,0,,,,2009-10-30 10:22:38,,
218416081010661,122560562010661,218416150010661,2007,54,13,1984,NYSY,1,NYSY,0,,,,2009-10-30 10:22:38,,
218416082010661,122560562010661,218416150010661,2007,54,13,1984,OSVI,1,OSVI,0,,,,2009-10-30 10:22:38,,
218416083010661,122560562010661,218416150010661,2007,54,13,1984,OXAR,1,OXAR,0,,,,2009-10-30 10:22:38,,
218416084010661,122560562010661,218416150010661,2007,54,13,1984,PACKE,1,PACKE,0,,10,,2009-10-30 10:22:38,,
218416085010661,122560562010661,218416150010661,2007,54,13,1984,PAQU,1,PAQU,0,,,,2009-10-30 10:22:38,,
218416086010661,122560562010661,218416150010661,2007,54,13,1984,PAQU2,1,PAQU2,0,,,,2009-10-30 10:22:38,,
218416087010661,122560562010661,218416150010661,2007,54,13,1984,PINUS,1,PINUS,0,,10,,2009-10-30 10:22:38,,
218416088010661,122560562010661,218416150010661,2007,54,13,1984,PIPU2,1,PIPU2,0,,,,2009-10-30 10:22:38,,
218416089010661,122560562010661,218416150010661,2007,54,13,1984,PIRI,1,PIRI,0,,,,2009-10-30 10:22:38,,
218416090010661,122560562010661,218416150010661,2007,54,13,1984,PIVI2,1,PIVI2,0,,,,2009-10-30 10:22:38,,
218416091010661,122560562010661,218416150010661,2007,54,13,1984,POAC4,1,POAC4,0,,,,2009-10-30 10:22:38,,
218416092010661,122560562010661,218416150010661,2007,54,13,1984,POBI2,1,POBI2,0,,,,2009-10-30 10:22:38,,
218416093010661,122560562010661,218416150010661,2007,54,13,1984,POPE,1,POPE,0,,,,2009-10-30 10:22:38,,
218416094010661,122560562010661,218416150010661,2007,54,13,1984,POPU4,1,POPU4,0,,,,2009-10-30 10:22:38,,
218416095010661,122560562010661,218416150010661,2007,54,13,1984,POSI2,1,POSI2,0,,,,2009-10-30 10:22:38,,
218416096010661,122560562010661,218416150010661,2007,54,13,1984,POVI2,1,POVI2,0,,,,2009-10-30 10:22:38,,
218416097010661,122560562010661,218416150010661,2007,54,13,1984,PRENA,1,PRENA,0,,10,,2009-10-30 10:22:38,,
218416098010661,122560562010661,218416150010661,2007,54,13,1984,PRSE2,1,PRSE2,0,,,,2009-10-30 10:22:38,,
218416099010661,122560562010661,218416150010661,2007,54,13,1984,PRVU,1,PRVU,0,,,,2009-10-30 10:22:38,,
218416100010661,122560562010661,218416150010661,2007,54,13,1984,QUAL,1,QUAL,0,,,,2009-10-30 10:22:38,,
218416101010661,122560562010661,218416150010661,2007,54,13,1984,QUCO2,1,QUCO2,0,,,,2009-10-30 10:22:38,,
218416102010661,122560562010661,218416150010661,2007,54,13,1984,QUPR2,1,QUMO4,0,,,,2009-10-30 10:22:38,2018-12-12 09:55:14,
218416103010661,122560562010661,218416150010661,2007,54,13,1984,QURU,1,QURU,0,,,,2009-10-30 10:22:38,,
218416104010661,122560562010661,218416150010661,2007,54,13,1984,QUVE,1,QUVE,0,,,,2009-10-30 10:22:38,,
218416105010661,122560562010661,218416150010661,2007,54,13,1984,RHCO,1,RHCO,0,,,,2009-10-30 10:22:38,,
218416106010661,122560562010661,218416150010661,2007,54,13,1984,RHODO,1,RHODO,0,,10,,2009-10-30 10:22:38,,
218416107010661,122560562010661,218416150010661,2007,54,13,1984,ROMU,1,ROMU,0,,,,2009-10-30 10:22:38,,
218416108010661,122560562010661,218416150010661,2007,54,13,1984,RUBUS,1,RUBUS,0,,10,,2009-10-30 10:22:38,,
218416109010661,122560562010661,218416150010661,2007,54,13,1984,RUHI,1,RUHI,0,,,,2009-10-30 10:22:38,,
218416110010661,122560562010661,218416150010661,2007,54,13,1984,RUOC,1,RUOC,0,,,,2009-10-30 10:22:38,,
218416111010661,122560562010661,218416150010661,2007,54,13,1984,SAAL5,1,SAAL5,0,,,,2009-10-30 10:22:38,,
218416112010661,122560562010661,218416150010661,2007,54,13,1984,SACA15,1,SACA15,0,,,,2009-10-30 10:22:38,,
218416113010661,122560562010661,218416150010661,2007,54,13,1984,SMGL,1,SMGL,0,,,,2009-10-30 10:22:38,,
218416114010661,122560562010661,218416150010661,2007,54,13,1984,SMRO,1,SMRO,0,,,,2009-10-30 10:22:38,,
218416115010661,122560562010661,218416150010661,2007,54,13,1984,SOBI,1,SOBI,0,,,,2009-10-30 10:22:38,,
218416116010661,122560562010661,218416150010661,2007,54,13,1984,SOLID,1,SOLID,0,,10,,2009-10-30 10:22:38,,
218416117010661,122560562010661,218416150010661,2007,54,13,1984,SOLID,2,SOLID,0,,10,,2009-10-30 10:22:38,,
218416121010661,122560562010661,218416150010661,2007,54,13,1984,STPU,1,STPU,0,,,,2009-10-30 10:22:38,,
218416118010661,122560562010661,218416150010661,2007,54,13,1984,SOLID,3,SOER,1,30068.0,,Y,2009-10-30 10:22:38,2012-01-24 13:21:54,
218416119010661,122560562010661,218416150010661,2007,54,13,1984,SOLID,4,SOLID,0,,10,,2009-10-30 10:22:38,,
218416120010661,122560562010661,218416150010661,2007,54,13,1984,SOLID,5,SOLID,0,,10,,2009-10-30 10:22:38,,
218416122010661,122560562010661,218416150010661,2007,54,13,1984,SYPR6,1,SYPR6,0,,,,2009-10-30 10:22:38,,
218416123010661,122560562010661,218416150010661,2007,54,13,1984,THTH2,1,THTH2,0,,,,2009-10-30 10:22:38,,
218416124010661,122560562010661,218416150010661,2007,54,13,1984,TORA2,1,TORA2,0,,,,2009-10-30 10:22:38,,
218416125010661,122560562010661,218416150010661,2007,54,13,1984,ULRU,1,ULRU,0,,,,2009-10-30 10:22:38,,
218416126010661,122560562010661,218416150010661,2007,54,13,1984,VACCI,1,VACCI,0,,10,,2009-10-30 10:22:38,,
218416127010661,122560562010661,218416150010661,2007,54,13,1984,VAST,1,VAST,0,,,,2009-10-30 10:22:38,,
218416128010661,122560562010661,218416150010661,2007,54,13,1984,VIHI2,1,VIHI2,0,,,,2009-10-30 10:22:38,,
