CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,VEG_QA_STATUS,VEG_KINDCD,VEG_MANUAL,TRACE_COVER_ALLOWED,VEG_MEASYEAR,VEG_MEASMON,VEG_MEASDAY,VEG_SAMPLE_BASIS,CREATED_DATE,MODIFIED_DATE,QA_STATUS
236069352010661,174547884010661,2009,54,103,3601,1,1,4.0,1,2009,8,4,2,2010-11-05 10:21:25,2023-01-24 07:13:32,
249349769010661,169112363010661,2010,54,27,602,1,1,4.0,1,2010,6,23,2,2011-06-06 07:01:39,2023-01-24 07:10:29,
249351948010661,169112397010661,2010,54,71,1818,1,1,4.0,1,2010,6,22,2,2011-06-06 07:01:46,2023-01-24 07:16:21,
249352094010661,169112451010661,2010,54,71,2100,1,1,4.0,1,2010,6,17,2,2011-06-06 07:01:46,2023-01-24 07:15:12,
249352224010661,169112507010661,2010,54,75,3599,1,1,4.0,1,2010,8,19,2,2011-06-06 07:01:46,2023-01-24 07:21:52,
249352898010661,169112575010661,2010,54,83,1282,1,1,4.0,1,2010,6,16,2,2011-06-06 07:01:48,2023-01-24 07:21:55,
249351569010661,169112609010661,2010,54,63,1793,1,1,4.0,1,2010,8,18,2,2011-06-06 07:01:44,2023-01-24 07:08:47,
249349105010661,169112647010661,2010,54,1,2429,1,1,4.0,1,2010,7,29,2,2011-06-06 07:01:36,2023-01-24 07:16:26,
249349964010661,169112739010661,2010,54,33,830,1,1,4.0,1,2010,7,21,2,2011-06-06 07:01:39,2023-01-24 07:10:39,
249350498010661,169112751010661,2010,54,41,2378,1,1,4.0,1,2010,7,20,2,2011-06-06 07:01:41,2023-01-24 07:16:28,
249351873010661,169112765010661,2010,54,67,862,1,1,4.0,1,2010,7,8,2,2011-06-06 07:01:45,2023-01-24 07:18:17,
249349646010661,169112775010661,2010,54,19,913,1,1,4.0,1,2010,8,17,2,2011-06-06 07:01:38,2023-01-24 07:18:17,
249351188010661,169112787010661,2010,54,55,737,1,1,4.0,1,2010,8,12,2,2011-06-06 07:01:43,2023-01-24 07:08:52,
249350696010661,169112915010661,2010,54,47,2474,1,1,4.0,1,2010,8,11,2,2011-06-06 07:01:42,2023-01-24 07:15:27,
249350974010661,169112927010661,2010,54,51,1731,1,1,4.0,1,2010,7,1,2,2011-06-06 07:01:43,2023-01-24 07:20:04,
249350331010661,169112995010661,2010,54,39,2374,1,1,4.0,1,2010,8,24,2,2011-06-06 07:01:40,2023-01-24 07:22:06,
249350882010661,169113039010661,2010,54,47,1853,1,1,4.0,1,2010,8,10,2,2011-06-06 07:01:42,2023-01-24 07:20:07,
236068332010661,145007991010661,2009,54,11,797,1,1,4.0,1,2009,7,7,2,2010-11-05 10:21:15,2023-01-24 07:08:36,
236064434010661,145007189010661,2009,54,31,598,1,1,4.0,1,2009,6,25,2,2010-11-05 10:21:17,2023-01-24 07:10:09,
218415999010661,122559864010661,2007,54,71,525,1,1,3.0,1,2007,8,1,2,2009-10-30 10:22:42,2023-01-24 06:29:12,
218416952010661,122561064010661,2007,54,51,785,1,1,3.0,1,2007,8,7,2,2009-10-30 10:22:41,2023-01-24 06:29:41,
218445431010661,171000245010661,2008,54,1,2226,1,1,4.0,1,2008,6,17,2,2009-10-30 10:22:47,2023-01-24 06:25:59,
218445828010661,171000270010661,2008,54,7,1131,1,1,4.0,1,2008,7,22,2,2009-10-30 10:22:47,2023-01-24 06:24:18,
218445620010661,171000314010661,2008,54,25,286,1,1,4.0,1,2008,7,22,2,2009-10-30 10:22:48,2023-01-24 06:31:19,
218444942010661,171000326010661,2008,54,27,188,1,1,4.0,1,2008,7,1,2,2009-10-30 10:22:49,2023-01-24 06:24:22,
218445088010661,171000334010661,2008,54,27,1658,1,1,4.0,1,2008,7,29,2,2009-10-30 10:22:49,2023-01-24 06:26:02,
218444993010661,171000341010661,2008,54,31,608,1,1,4.0,1,2008,6,30,2,2009-10-30 10:22:50,2023-01-24 06:24:23,
218446770010661,171000359010661,2008,54,35,893,1,1,4.0,1,2008,9,11,2,2009-10-30 10:22:50,2023-01-24 06:26:03,
218444852010661,171000366010661,2008,54,37,222,1,1,4.0,1,2008,7,28,2,2009-10-30 10:22:50,2023-01-24 06:31:21,
218446698010661,171000381010661,2008,54,39,1428,1,1,4.0,1,2008,6,26,2,2009-10-30 10:22:51,2023-01-24 06:27:48,
218445723010661,171000473010661,2008,54,67,1365,1,1,4.0,1,2008,7,24,2,2009-10-30 10:22:51,2023-01-24 06:22:22,
218417189010661,122559922010661,2007,54,93,857,1,1,3.0,1,2007,7,30,2,2009-10-30 10:22:45,2023-01-24 06:21:50,
218415938010661,122559940010661,2007,54,75,2500,1,1,3.0,1,2007,7,19,2,2009-10-30 10:22:42,2023-01-24 06:27:21,
218417148010661,122560048010661,2007,54,83,112,1,1,3.0,1,2007,7,31,2,2009-10-30 10:22:43,2023-01-24 06:23:55,
218415790010661,122560160010661,2007,54,97,2408,1,1,3.0,1,2007,7,25,2,2009-10-30 10:22:45,2023-01-24 06:21:52,
218415881010661,122560194010661,2007,54,101,696,1,1,3.0,1,2007,8,2,2,2009-10-30 10:22:45,2023-01-24 06:21:53,
218417279010661,122560220010661,2007,54,25,677,1,1,3.0,1,2007,7,16,2,2009-10-30 10:22:40,2023-01-24 06:18:29,
218416757010661,122560248010661,2007,54,89,2204,1,1,3.0,1,2007,7,17,2,2009-10-30 10:22:44,2023-01-24 06:21:55,
218417404010661,122560278010661,2007,54,49,1524,1,1,3.0,1,2007,8,9,2,2009-10-30 10:22:41,2023-01-24 06:25:44,
218415660010661,122560344010661,2007,54,67,2125,1,1,3.0,1,2007,8,21,2,2009-10-30 10:22:42,2023-01-24 06:25:45,
