CN,PLT_CN,VVT_CN,VSB_CN,VPS_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,SP_CANOPY_COVER_TOTAL,SP_CANOPY_COVER_LAYER_1_2,SP_CANOPY_COVER_LAYER_3,SP_CANOPY_COVER_LAYER_4,QUAD_1_PRESENCE,QUAD_2_PRESENCE,QUAD_3_PRESENCE,DUMMY_SUBP_COVER_PRE2004,MAX_COVER_LAYER_NBR_PRE2004,CREATED_DATE,MODIFIED_DATE
236184556010661,174547884010661,236069352010661,236069348010661,236069253010661,2009,54,103,3601,1,CADI5,1,CADI5,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:25,
236184574010661,174547884010661,236069352010661,236069348010661,236069259010661,2009,54,103,3601,1,CECA4,1,CECA4,1.0,1.0,0.0,0.0,1,0,1,,,2010-11-05 10:21:25,
236184578010661,174547884010661,236069352010661,236069348010661,236069260010661,2009,54,103,3601,1,CIRCA,1,CIRCA,1.0,1.0,0.0,0.0,1,1,1,,,2010-11-05 10:21:25,
236184582010661,174547884010661,236069352010661,236069348010661,236069262010661,2009,54,103,3601,1,COFL2,1,COFL2,2.0,2.0,0.0,0.0,1,1,0,,,2010-11-05 10:21:25,
236184586010661,174547884010661,236069352010661,236069348010661,236069263010661,2009,54,103,3601,1,CYVI,1,CYVI,3.0,3.0,0.0,0.0,0,1,0,,,2010-11-05 10:21:25,
236184590010661,174547884010661,236069352010661,236069348010661,236069264010661,2009,54,103,3601,1,DESMO,1,DESMO,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:25,
249357473010661,169112451010661,249352094010661,249352093010661,249351992010661,2010,54,71,2100,4,ACPE,1,ACPE,0.01,0.01,0.0,0.0,0,0,0,,,2011-06-06 07:01:46,
249357477010661,169112451010661,249352094010661,249352093010661,249351993010661,2010,54,71,2100,4,ACRU,1,ACRU,8.0,0.01,6.0,8.0,1,1,1,,,2011-06-06 07:01:46,
249357481010661,169112451010661,249352094010661,249352093010661,249351994010661,2010,54,71,2100,4,ACSA3,1,ACSA3,55.0,0.01,50.0,55.0,0,0,0,,,2011-06-06 07:01:46,
249357485010661,169112451010661,249352094010661,249352093010661,249351996010661,2010,54,71,2100,4,AGAL5,1,AGAL5,2.0,2.0,0.0,0.0,0,1,1,,,2011-06-06 07:01:46,
249357489010661,169112451010661,249352094010661,249352093010661,249351997010661,2010,54,71,2100,4,ALPE4,1,ALPE4,0.01,0.01,0.0,0.0,0,0,0,,,2011-06-06 07:01:46,
249357508010661,169112451010661,249352094010661,249352093010661,249352009010661,2010,54,71,2100,4,CACE,1,CACE,1.0,1.0,0.0,0.0,0,0,0,,,2011-06-06 07:01:46,
249357511010661,169112451010661,249352094010661,249352093010661,249352010010661,2010,54,71,2100,4,CADI5,1,CADI5,1.0,1.0,0.0,0.0,0,1,0,,,2011-06-06 07:01:46,
249357515010661,169112451010661,249352094010661,249352093010661,249352011010661,2010,54,71,2100,4,CAGL8,1,CAGL8,40.0,0.01,15.0,40.0,0,0,0,,,2011-06-06 07:01:46,
249357517010661,169112451010661,249352094010661,249352093010661,249352012010661,2010,54,71,2100,4,CAHI6,1,CAHI6,1.0,1.0,0.0,0.0,0,0,0,,,2011-06-06 07:01:46,
249357521010661,169112451010661,249352094010661,249352093010661,249352013010661,2010,54,71,2100,4,CARA8,1,CARA8,1.0,1.0,0.0,0.0,0,0,0,,,2011-06-06 07:01:46,
249357527010661,169112451010661,249352094010661,249352093010661,249352015010661,2010,54,71,2100,4,CAWI2,1,CAWI2,3.0,3.0,0.0,0.0,0,0,0,,,2011-06-06 07:01:46,
249357536010661,169112451010661,249352094010661,249352093010661,249352020010661,2010,54,71,2100,4,COAM,1,COAM,1.0,1.0,0.0,0.0,0,0,0,,,2011-06-06 07:01:46,
249357540010661,169112451010661,249352094010661,249352093010661,249352023010661,2010,54,71,2100,4,DACO,1,DACO,1.0,1.0,0.0,0.0,0,0,0,,,2011-06-06 07:01:46,
249357542010661,169112451010661,249352094010661,249352093010661,249352025010661,2010,54,71,2100,4,DASP2,1,DASP2,3.0,3.0,0.0,0.0,1,1,0,,,2011-06-06 07:01:46,
249357544010661,169112451010661,249352094010661,249352093010661,249352027010661,2010,54,71,2100,4,DILA8,1,DILA8,0.01,0.01,0.0,0.0,0,0,0,,,2011-06-06 07:01:46,
249357555010661,169112451010661,249352094010661,249352093010661,249352032010661,2010,54,71,2100,4,GACI2,1,GACI2,0.01,0.01,0.0,0.0,0,0,0,,,2011-06-06 07:01:46,
249357561010661,169112451010661,249352094010661,249352093010661,249352036010661,2010,54,71,2100,4,HOLO,1,HOLO,0.01,0.01,0.0,0.0,0,0,0,,,2011-06-06 07:01:46,
249357566010661,169112451010661,249352094010661,249352093010661,249352040010661,2010,54,71,2100,4,MOUN3,1,MOUN3,0.01,0.01,0.0,0.0,0,0,0,,,2011-06-06 07:01:46,
249357575010661,169112451010661,249352094010661,249352093010661,249352043010661,2010,54,71,2100,4,PACA11,1,PACA11,0.01,0.01,0.0,0.0,0,1,0,,,2011-06-06 07:01:46,
236184613010661,174547884010661,236069352010661,236069350010661,236069282010661,2009,54,103,3601,3,GAAP2,1,GAAP2,0.01,0.01,0.0,0.0,0,1,0,,,2010-11-05 10:21:26,
236184616010661,174547884010661,236069352010661,236069350010661,236069283010661,2009,54,103,3601,3,GACI2,1,GACI2,0.01,0.01,0.0,0.0,1,1,1,,,2010-11-05 10:21:26,
236184621010661,174547884010661,236069352010661,236069350010661,236069287010661,2009,54,103,3601,3,HYCA,1,HYCA,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:26,
236184633010661,174547884010661,236069352010661,236069350010661,236069293010661,2009,54,103,3601,3,LIBE3,1,LIBE3,2.0,2.0,0.0,0.0,1,0,0,,,2010-11-05 10:21:26,
236184635010661,174547884010661,236069352010661,236069350010661,236069294010661,2009,54,103,3601,3,LITU,1,LITU,0.01,0.01,0.0,0.0,0,0,1,,,2010-11-05 10:21:26,
236184644010661,174547884010661,236069352010661,236069350010661,236069299010661,2009,54,103,3601,3,MIVI,1,MIVI,20.0,20.0,0.0,0.0,1,1,1,,,2010-11-05 10:21:26,
236184647010661,174547884010661,236069352010661,236069350010661,236069300010661,2009,54,103,3601,3,NYSY,1,NYSY,8.0,0.01,0.0,8.0,0,0,0,,,2010-11-05 10:21:26,
236184592010661,174547884010661,236069352010661,236069348010661,236069265010661,2009,54,103,3601,1,DIBO2,1,DIBO2,5.0,5.0,0.0,0.0,1,0,0,,,2010-11-05 10:21:25,
236184597010661,174547884010661,236069352010661,236069348010661,236069267010661,2009,54,103,3601,1,DILA8,1,DILA8,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:26,
236184600010661,174547884010661,236069352010661,236069348010661,236069269010661,2009,54,103,3601,1,ELHY,1,ELHY,3.0,3.0,0.0,0.0,0,0,0,,,2010-11-05 10:21:26,
236184603010661,174547884010661,236069352010661,236069348010661,236069270010661,2009,54,103,3601,1,ELUM,1,ELUM,7.0,7.0,2.0,0.0,0,0,0,,,2010-11-05 10:21:26,
236184607010661,174547884010661,236069352010661,236069348010661,236069273010661,2009,54,103,3601,1,FRAM2,1,FRAM2,37.0,1.0,12.0,32.0,0,0,1,,,2010-11-05 10:21:26,
236184717010661,174547884010661,236069352010661,236069348010661,236069274010661,2009,54,103,3601,1,TORA2,1,TORA2,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:26,
236184720010661,174547884010661,236069352010661,236069348010661,236069276010661,2009,54,103,3601,1,ULRU,1,ULRU,14.0,0.01,1.0,14.0,0,0,0,,,2010-11-05 10:21:26,
236184724010661,174547884010661,236069352010661,236069348010661,236069277010661,2009,54,103,3601,1,VEUR,1,VEUR,1.0,1.0,0.0,0.0,1,0,0,,,2010-11-05 10:21:26,
236184726010661,174547884010661,236069352010661,236069348010661,236069278010661,2009,54,103,3601,1,VIOLA,1,VIOLA,0.01,0.01,0.0,0.0,0,0,1,,,2010-11-05 10:21:26,
236184729010661,174547884010661,236069352010661,236069348010661,236069279010661,2009,54,103,3601,1,VIPA3,1,VIPA18,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:26,
236184732010661,174547884010661,236069352010661,236069348010661,236069280010661,2009,54,103,3601,1,VISO,1,VISO,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:26,
236184734010661,174547884010661,236069352010661,236069348010661,236069281010661,2009,54,103,3601,1,VITIS,1,VITIS,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:26,
236184611010661,174547884010661,236069352010661,236069348010661,236069282010661,2009,54,103,3601,1,GAAP2,1,GAAP2,0.01,0.01,0.0,0.0,0,1,0,,,2010-11-05 10:21:26,
236184618010661,174547884010661,236069352010661,236069348010661,236069284010661,2009,54,103,3601,1,GEUM,1,GEUM,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:26,
236184619010661,174547884010661,236069352010661,236069348010661,236069285010661,2009,54,103,3601,1,GLHE2,1,GLHE2,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:26,
236184628010661,174547884010661,236069352010661,236069348010661,236069291010661,2009,54,103,3601,1,LAPU2,1,LAPU2,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:26,
236184634010661,174547884010661,236069352010661,236069348010661,236069294010661,2009,54,103,3601,1,LITU,1,LITU,5.0,0.01,1.0,5.0,0,0,0,,,2010-11-05 10:21:26,
236184642010661,174547884010661,236069352010661,236069348010661,236069299010661,2009,54,103,3601,1,MIVI,1,MIVI,85.0,85.0,0.0,0.0,1,1,1,,,2010-11-05 10:21:26,
236184649010661,174547884010661,236069352010661,236069348010661,236069302010661,2009,54,103,3601,1,OXST,1,OXST,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:26,
236184651010661,174547884010661,236069352010661,236069348010661,236069303010661,2009,54,103,3601,1,PACA11,1,PACA11,1.0,1.0,0.0,0.0,0,0,0,,,2010-11-05 10:21:26,
236184652010661,174547884010661,236069352010661,236069348010661,236069304010661,2009,54,103,3601,1,PAPE5,1,PAPE5,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:26,
236184653010661,174547884010661,236069352010661,236069348010661,236069305010661,2009,54,103,3601,1,PAQU2,1,PAQU2,0.01,0.01,0.0,0.0,1,0,0,,,2010-11-05 10:21:26,
236184656010661,174547884010661,236069352010661,236069348010661,236069306010661,2009,54,103,3601,1,PIPU2,1,PIPU2,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:26,
236184658010661,174547884010661,236069352010661,236069348010661,236069308010661,2009,54,103,3601,1,POAC4,1,POAC4,2.0,2.0,0.0,0.0,1,1,1,,,2010-11-05 10:21:26,
236184663010661,174547884010661,236069352010661,236069348010661,236069310010661,2009,54,103,3601,1,POCA49,1,POCE4,1.0,1.0,0.0,0.0,0,0,1,,,2010-11-05 10:21:26,
236184667010661,174547884010661,236069352010661,236069348010661,236069312010661,2009,54,103,3601,1,POSC3,1,POSC3,1.0,1.0,0.0,0.0,0,0,1,,,2010-11-05 10:21:26,
236184672010661,174547884010661,236069352010661,236069348010661,236069314010661,2009,54,103,3601,1,POVI2,1,POVI2,2.0,2.0,0.0,0.0,0,0,0,,,2010-11-05 10:21:26,
236184681010661,174547884010661,236069352010661,236069348010661,236069319010661,2009,54,103,3601,1,ROMU,1,ROMU,1.0,1.0,0.0,0.0,0,0,0,,,2010-11-05 10:21:26,
236184684010661,174547884010661,236069352010661,236069348010661,236069320010661,2009,54,103,3601,1,ROPS,1,ROPS,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:26,
236184686010661,174547884010661,236069352010661,236069348010661,236069321010661,2009,54,103,3601,1,RUBUS,1,RUBUS,0.01,0.01,0.0,0.0,1,0,0,,,2010-11-05 10:21:26,
236184690010661,174547884010661,236069352010661,236069348010661,236069323010661,2009,54,103,3601,1,RUOC,1,RUOC,1.0,1.0,0.0,0.0,0,0,0,,,2010-11-05 10:21:26,
236180873010661,145008167010661,236065953010661,236065952010661,236065828010661,2009,54,25,2331,4,QUVE,1,QUVE,0.01,0.01,0.0,0.0,0,0,0,,,2010-11-05 10:21:16,
249354389010661,169112363010661,249349769010661,249349767010661,249349725010661,2010,54,27,602,3,GABA,1,GABA,3.0,3.0,0.0,0.0,0,0,0,,,2011-06-06 07:01:39,
249354392010661,169112363010661,249349769010661,249349767010661,249349726010661,2010,54,27,602,3,GOPU,1,GOPU,0.01,0.01,0.0,0.0,0,1,0,,,2011-06-06 07:01:39,
249354393010661,169112363010661,249349769010661,249349767010661,249349727010661,2010,54,27,602,3,HYHY,1,HYHY,0.01,0.01,0.0,0.0,0,0,0,,,2011-06-06 07:01:39,
249354398010661,169112363010661,249349769010661,249349767010661,249349730010661,2010,54,27,602,3,LITU,1,LITU,1.0,1.0,0.0,0.0,0,0,0,,,2011-06-06 07:01:39,
249354402010661,169112363010661,249349769010661,249349767010661,249349731010661,2010,54,27,602,3,MARAR,1,MARAR,0.01,0.01,0.0,0.0,0,1,0,,,2011-06-06 07:01:39,
249354406010661,169112363010661,249349769010661,249349767010661,249349732010661,2010,54,27,602,3,MEPI2,1,MEPI2,4.0,4.0,0.0,0.0,0,1,0,,,2011-06-06 07:01:39,
249354410010661,169112363010661,249349769010661,249349767010661,249349733010661,2010,54,27,602,3,MIVI,1,MIVI,0.01,0.01,0.0,0.0,0,0,0,,,2011-06-06 07:01:39,
249354416010661,169112363010661,249349769010661,249349767010661,249349735010661,2010,54,27,602,3,NYSY,1,NYSY,25.0,10.0,25.0,23.0,0,1,0,,,2011-06-06 07:01:39,
249354418010661,169112363010661,249349769010661,249349767010661,249349736010661,2010,54,27,602,3,PAQU2,1,PAQU2,0.01,0.01,0.0,0.0,0,0,0,,,2011-06-06 07:01:39,
249354420010661,169112363010661,249349769010661,249349767010661,249349737010661,2010,54,27,602,3,PIRI,1,PIRI,1.0,1.0,0.0,0.0,0,0,1,,,2011-06-06 07:01:39,
249354425010661,169112363010661,249349769010661,249349767010661,249349740010661,2010,54,27,602,3,POSI2,1,POSI2,0.01,0.01,0.0,0.0,0,0,0,,,2011-06-06 07:01:39,
249354427010661,169112363010661,249349769010661,249349767010661,249349741010661,2010,54,27,602,3,PSOBO,1,PSOBO,0.01,0.01,0.0,0.0,0,0,0,,,2011-06-06 07:01:39,
249354430010661,169112363010661,249349769010661,249349767010661,249349742010661,2010,54,27,602,3,QUAL,1,QUAL,8.0,0.0,0.0,8.0,0,0,0,,,2011-06-06 07:01:39,
249354434010661,169112363010661,249349769010661,249349767010661,249349743010661,2010,54,27,602,3,QUPR2,1,QUMO4,38.0,0.01,0.0,38.0,0,1,0,,,2011-06-06 07:01:39,
249354437010661,169112363010661,249349769010661,249349767010661,249349744010661,2010,54,27,602,3,QURU,1,QURU,48.0,0.01,8.0,48.0,0,0,0,,,2011-06-06 07:01:39,
249354439010661,169112363010661,249349769010661,249349767010661,249349745010661,2010,54,27,602,3,ROPS,1,ROPS,1.0,1.0,0.0,0.0,0,0,0,,,2011-06-06 07:01:39,
249354443010661,169112363010661,249349769010661,249349767010661,249349746010661,2010,54,27,602,3,SAAL5,1,SAAL5,0.01,0.01,0.0,0.0,0,0,0,,,2011-06-06 07:01:39,
249354446010661,169112363010661,249349769010661,249349767010661,249349749010661,2010,54,27,602,3,ULRU,1,ULRU,0.01,0.01,0.0,0.0,0,0,0,,,2011-06-06 07:01:39,
249354452010661,169112363010661,249349769010661,249349767010661,249349751010661,2010,54,27,602,3,VAPA4,1,VAPA4,3.0,3.0,0.0,0.0,0,1,0,,,2011-06-06 07:01:39,
249354361010661,169112363010661,249349769010661,249349768010661,249349699010661,2010,54,27,602,4,CAREX,1,CAREX,0.01,0.01,0.0,0.0,0,0,0,,,2011-06-06 07:01:39,
249354330010661,169112363010661,249349769010661,249349768010661,249349702010661,2010,54,27,602,4,ACRU,1,ACRU,31.0,4.0,16.0,31.0,1,1,1,,,2011-06-06 07:01:39,
249354337010661,169112363010661,249349769010661,249349768010661,249349704010661,2010,54,27,602,4,AIAL,1,AIAL,0.01,0.01,0.0,0.0,0,0,0,,,2011-06-06 07:01:39,
249354340010661,169112363010661,249349769010661,249349768010661,249349706010661,2010,54,27,602,4,AMAR3,1,AMAR3,26.0,0.01,5.0,26.0,0,1,0,,,2011-06-06 07:01:39,
249354344010661,169112363010661,249349769010661,249349768010661,249349707010661,2010,54,27,602,4,ANVI2,1,ANVI2,0.01,0.01,0.0,0.0,0,0,0,,,2011-06-06 07:01:39,
249354348010661,169112363010661,249349769010661,249349768010661,249349708010661,2010,54,27,602,4,BELE,1,BELE,0.01,0.01,0.0,0.0,0,1,0,,,2011-06-06 07:01:39,
249354364010661,169112363010661,249349769010661,249349768010661,249349714010661,2010,54,27,602,4,CHMA3,1,CHMA3,0.01,0.01,0.0,0.0,0,0,0,,,2011-06-06 07:01:39,
249354374010661,169112363010661,249349769010661,249349768010661,249349717010661,2010,54,27,602,4,DEPU2,1,DEPU2,11.0,11.0,0.0,0.0,1,0,0,,,2011-06-06 07:01:39,
249354382010661,169112363010661,249349769010661,249349768010661,249349722010661,2010,54,27,602,4,EPRE2,1,EPRE2,0.01,0.01,0.0,0.0,0,0,0,,,2011-06-06 07:01:39,
