CN,INVYR,STATECD,COUNTYCD,O3PLOT,FIELD_ID,SPLIT_PLOTID,MEASYEAR,SPECIES_EVAL_CNT,BIOSITE_INDEX,ELEV,PLTSIZE,ASPECT,TERRPOS,SOILDPTH,SOILDRN,PLOTWET,PLTDSTRB,BIOSITE_INDEX_MULTIPLIER,LAT,LON,CREATED_DATE,MODIFIED_DATE
226074696010661,1997,54,81,12431.0,1243,1,1997,1.0,0.0,1869,2.0,0,4.0,1.0,1.0,,0.0,0.0,37.813176,-81.39458,2010-06-07 08:49:06,2010-09-24 11:02:06
226074706010661,1997,54,83,3671.0,367,1,1997,1.0,0.0,1967,2.0,170,1.0,1.0,1.0,,0.0,0.0,38.922892,-79.807305,2010-06-07 08:49:08,2010-09-24 11:02:06
226074715010661,1997,54,83,15331.0,1533,1,1997,2.0,0.0,2800,2.0,135,3.0,1.0,1.0,,0.0,0.0,38.622423,-80.171744,2010-06-07 08:49:11,2010-09-24 11:02:06
226074781010661,1997,54,85,5651.0,565,1,1997,2.0,0.0,829,1.0,126,3.0,1.0,1.0,,0.0,0.0,39.199786,-81.091589,2010-06-07 08:49:28,2010-09-24 11:02:06
226074726010661,1997,54,87,4861.0,486,1,1997,3.0,0.00798,1000,1.0,0,4.0,1.0,1.0,,0.0,7.98,38.652703,-81.167015,2010-06-07 08:49:14,2010-09-24 11:02:06
226074772010661,1997,54,91,6911.0,691,1,1997,1.0,0.0,1241,2.0,170,1.0,1.0,1.0,,0.0,0.0,39.318123,-80.049527,2010-06-07 08:49:25,2010-09-24 11:02:06
226074651010661,1997,54,99,15581.0,1558,1,1997,3.0,0.00791444,600,1.0,250,3.0,1.0,1.0,,2.0,7.914444444444444,38.264396,-82.462287,2010-06-07 08:48:54,2010-09-24 11:02:06
226074694010661,1997,54,109,431.0,43,1,1997,2.0,0.0,2300,1.0,215,1.0,1.0,1.0,,0.0,0.0,37.619879,-81.399667,2010-06-07 08:49:06,2010-09-24 11:02:06
226075996010661,1998,54,11,6901.0,690,1,1998,3.0,0.04616167,1200,1.0,0,1.0,2.0,1.0,,0.0,46.16166666666667,38.305127,-82.245625,2010-06-07 09:28:03,2010-09-24 11:02:07
226078030010661,1999,54,39,2911.0,291,1,1999,1.0,0.0,655,2.0,0,5.0,2.0,1.0,,0.0,0.0,38.421138,-81.716091,2010-06-07 09:42:53,2010-09-24 11:02:07
226078032010661,1999,54,39,6961.0,696,1,1999,1.0,0.0,768,1.0,0,5.0,1.0,1.0,,0.0,0.0,38.517351,-81.458721,2010-06-07 09:42:54,2010-09-24 11:02:07
226077880010661,1999,54,41,13521.0,1352,1,1999,4.0,6.708e-05,1120,1.0,180,3.0,1.0,1.0,,1.0,0.06708333333333333,39.046049,-80.352708,2010-06-07 09:42:10,2010-09-24 11:02:07
226078161010661,1999,54,51,12961.0,1296,1,1999,3.0,0.01541806,1200,2.0,0,1.0,1.0,2.0,,0.0,15.418055555555556,39.841893,-80.630134,2010-06-07 09:43:33,2010-09-24 11:02:07
226078138010661,1999,54,61,8351.0,835,1,1999,3.0,0.0,2506,2.0,50,1.0,2.0,1.0,,0.0,0.0,39.63146,-79.862029,2010-06-07 09:43:27,2010-09-24 11:02:07
226078154010661,1999,54,61,811.0,81,1,1999,3.0,0.0,1083,2.0,234,5.0,1.0,2.0,,0.0,0.0,39.687664,-80.319792,2010-06-07 09:43:31,2010-09-24 11:02:07
226078131010661,1999,54,91,81.0,8,1,1999,3.0,0.0,1800,2.0,195,1.0,1.0,1.0,,0.0,0.0,39.355172,-79.931686,2010-06-07 09:43:25,2010-09-24 11:02:07
226078150010661,1999,54,91,6911.0,691,1,1999,3.0,0.0,1241,1.0,170,3.0,1.0,1.0,,0.0,0.0,39.318123,-80.049527,2010-06-07 09:43:30,2010-09-24 11:02:07
226077875010661,1999,54,99,15581.0,1558,1,1999,3.0,0.0,620,1.0,250,3.0,1.0,1.0,,1.0,0.0,38.264396,-82.462287,2010-06-07 09:42:09,2010-09-24 11:02:07
248863849010661,2010,54,55,51.0,5,1,2010,4.0,0.0,2692,2.0,0,1.0,1.0,1.0,,0.0,0.0,37.562819,-81.165687,2011-05-24 08:51:14,
248863856010661,2010,54,25,8201.0,820,1,2010,3.0,0.00014778,3071,1.0,218,1.0,1.0,1.0,,0.0,0.14777777777777779,37.958515,-80.696971,2011-05-24 08:51:16,
248863862010661,2010,54,109,15391.0,1539,1,2010,3.0,0.0,1442,2.0,160,4.0,1.0,1.0,,0.0,0.0,37.568966,-81.599729,2011-05-24 08:51:18,
248863868010661,2010,54,45,1741.0,174,1,2010,3.0,0.00882,900,1.0,0,4.0,1.0,1.0,,0.0,8.82,37.837203,-81.951028,2011-05-24 08:51:20,
248863873010661,2010,54,19,12431.0,1243,1,2010,4.0,0.0,1959,2.0,0,4.0,1.0,1.0,,0.0,0.0,38.035268,-81.260284,2011-05-24 08:51:22,
248863999010661,2010,54,31,13651.0,1365,1,2010,3.0,0.0,884,1.0,0,4.0,1.0,1.0,,0.0,0.0,39.100581,-78.93153,2011-05-24 08:52:03,
248864004010661,2010,54,75,3361.0,336,1,2010,3.0,0.0,4072,2.0,0,1.0,1.0,1.0,,0.0,0.0,38.549323,-79.750562,2011-05-24 08:52:05,
248864009010661,2010,54,75,3362.0,336,2,2010,2.0,0.0,3817,2.0,182,1.0,1.0,1.0,,0.0,0.0,38.533365,-79.76714,2011-05-24 08:52:06,
248864016010661,2010,54,83,3671.0,367,1,2010,4.0,0.0,2613,2.0,179,1.0,1.0,1.0,,0.0,0.0,39.012799,-79.701723,2011-05-24 08:52:08,
248864021010661,2010,54,101,13731.0,1373,1,2010,4.0,0.0,2260,1.0,0,4.0,1.0,1.0,,0.0,0.0,38.385363,-80.620878,2011-05-24 08:52:10,
248864028010661,2010,54,7,8631.0,863,1,2010,6.0,0.0,1245,1.0,0,4.0,1.0,1.0,,0.0,0.0,38.595512,-80.583454,2011-05-24 08:52:13,
248864032010661,2010,54,83,13951.0,1395,1,2010,3.0,0.00720889,3566,1.0,0,4.0,1.0,2.0,,0.0,7.208888888888889,38.592289,-80.099311,2011-05-24 08:52:14,
248864039010661,2010,54,67,3711.0,371,1,2010,6.0,0.0031013,1960,2.0,23,3.0,1.0,1.0,,0.0,3.1012962962962964,38.267532,-80.908565,2011-05-24 08:52:16,
248864045010661,2010,54,5,251.0,25,1,2010,4.0,0.0,759,1.0,0,3.0,1.0,1.0,,0.0,0.0,38.158948,-81.771863,2011-05-24 08:52:18,
248864051010661,2010,54,87,6961.0,696,1,2010,3.0,0.0,643,2.0,0,4.0,1.0,1.0,,0.0,0.0,38.600372,-81.249297,2011-05-24 08:52:20,
248864069010661,2010,54,11,12261.0,1226,1,2010,3.0,0.01020889,558,1.0,0,4.0,1.0,1.0,,0.0,10.20888888888889,38.506757,-82.222109,2011-05-24 08:52:26,
248864377010661,2010,54,31,5341.0,534,1,2010,3.0,0.0,9999,1.0,0,4.0,1.0,1.0,,1.0,0.0,39.052849,-78.582191,2011-05-24 08:54:04,
248864384010661,2010,54,3,521.0,52,1,2010,4.0,0.00645333,1649,2.0,0,4.0,1.0,1.0,,0.0,6.453333333333333,39.427105,-78.148011,2011-05-24 08:54:06,
248864397010661,2010,54,93,4281.0,428,1,2010,3.0,0.0019025,3102,1.0,240,3.0,1.0,1.0,,0.0,1.9025,39.183999,-79.389547,2011-05-24 08:54:10,
248864403010661,2010,54,93,4282.0,428,2,2010,2.0,0.0,3171,1.0,165,3.0,1.0,1.0,,0.0,0.0,39.093831,-79.399963,2011-05-24 08:54:12,
248864422010661,2010,54,77,8351.0,835,1,2010,3.0,0.0,2312,1.0,143,1.0,1.0,1.0,,0.0,0.0,39.67715,-79.728551,2011-05-24 08:54:18,
248864427010661,2010,54,91,6911.0,691,1,2010,4.0,0.0,1286,1.0,120,1.0,1.0,1.0,,0.0,0.0,39.318123,-80.049527,2011-05-24 08:54:19,
248864433010661,2010,54,33,14241.0,1424,1,2010,2.0,0.0,1182,1.0,290,4.0,1.0,1.0,,0.0,0.0,39.237529,-80.535102,2011-05-24 08:54:21,
248864437010661,2010,54,61,811.0,81,1,2010,3.0,0.0,1119,2.0,315,3.0,1.0,1.0,,0.0,0.0,39.687664,-80.319792,2011-05-24 08:54:22,
248864448010661,2010,54,85,5651.0,565,1,2010,3.0,0.00527111,802,1.0,115,4.0,1.0,1.0,,0.0,5.271111111111111,39.199786,-81.091589,2011-05-24 08:54:26,
248864460010661,2010,54,95,13001.0,1300,1,2010,3.0,0.00152889,1179,1.0,240,1.0,1.0,1.0,,0.0,1.528888888888889,39.546041,-80.980761,2011-05-24 08:54:29,
248864465010661,2010,54,95,13002.0,1300,2,2010,2.0,0.0,1200,2.0,70,1.0,1.0,1.0,,0.0,0.0,39.479862,-80.789161,2011-05-24 08:54:31,
248864064010661,2010,54,99,8451.0,845,1,2010,4.0,0.0,632,1.0,0,4.0,1.0,1.0,,0.0,0.0,38.293989,-82.350861,2011-05-24 08:52:25,
226074722010661,1997,54,39,6961.0,696,1,1997,1.0,0.0,768,1.0,0,1.0,1.0,1.0,,0.0,0.0,38.517351,-81.458721,2010-06-07 08:49:13,2010-09-24 11:02:06
226074717010661,1997,54,41,4471.0,447,1,1997,1.0,0.0,1600,2.0,0,1.0,1.0,3.0,,0.0,0.0,38.989437,-80.371804,2010-06-07 08:49:11,2010-09-24 11:02:06
226074732010661,1997,54,43,5831.0,583,1,1997,3.0,0.0,1100,1.0,124,1.0,1.0,1.0,,0.0,0.0,38.129485,-82.083718,2010-06-07 08:49:15,2010-09-24 11:02:06
226074687010661,1997,54,55,51.0,5,1,1997,1.0,0.0,2520,2.0,292,1.0,1.0,1.0,,0.0,0.0,37.473048,-81.147227,2010-06-07 08:49:04,2010-09-24 11:02:06
226074691010661,1997,54,55,13611.0,1361,1,1997,3.0,0.0,3000,2.0,0,1.0,1.0,1.0,,0.0,0.0,37.541042,-81.079986,2010-06-07 08:49:05,2010-09-24 11:02:06
226140200010661,2000,54,1,9801.0,980,1,2000,3.0,0.0,1220,2.0,0,5.0,1.0,1.0,,0.0,0.0,39.16609,-80.073356,2010-06-07 10:04:41,2010-09-24 11:01:27
226139518010661,2000,54,7,8631.0,863,1,2000,3.0,0.0,802,2.0,0,2.0,1.0,1.0,,0.0,0.0,38.558165,-80.649701,2010-06-07 10:04:05,2010-09-24 11:01:27
226139568010661,2000,54,13,10271.0,1027,1,2000,1.0,0.0,860,3.0,0,1.0,1.0,1.0,,0.0,0.0,38.808474,-81.178075,2010-06-07 10:04:08,2010-09-24 11:01:27
226139447010661,2000,54,19,4361.0,436,1,2000,3.0,0.0,2200,2.0,46,3.0,1.0,1.0,,0.0,0.0,38.039615,-80.823294,2010-06-07 10:04:00,2010-09-24 11:01:27
226140016010661,2000,54,31,6211.0,621,1,2000,3.0,0.0,1340,1.0,285,1.0,2.0,1.0,,0.0,0.0,39.112953,-78.933934,2010-06-07 10:04:32,2010-09-24 11:01:27
226076109010661,1998,54,33,10361.0,1036,1,1998,3.0,0.03180407,1150,1.0,140,1.0,1.0,1.0,,0.0,31.80406565656566,39.149462,-80.415679,2010-06-07 09:28:34,2010-09-24 11:01:31
226075992010661,1998,54,35,7261.0,726,1,1998,2.0,0.0,800,2.0,0,1.0,1.0,1.0,,0.0,0.0,38.729198,-81.690339,2010-06-07 09:28:02,2010-09-24 11:01:32
226075984010661,1998,54,39,3131.0,313,1,1998,3.0,0.02799705,1220,2.0,0,1.0,2.0,1.0,,0.0,27.99705296694544,38.501487,-81.238288,2010-06-07 09:27:59,2010-09-24 11:01:32
226075882010661,1998,54,41,13521.0,1352,1,1998,5.0,0.02721725,1200,1.0,180,3.0,1.0,1.0,,1.0,27.21725,39.046049,-80.352708,2010-06-07 09:27:32,2010-09-24 11:01:32
226075977010661,1998,54,41,4471.0,447,1,1998,4.0,0.08625974,1600,2.0,0,1.0,2.0,3.0,,0.0,86.25973604826547,38.989437,-80.371804,2010-06-07 09:27:58,2010-09-24 11:01:32
226076113010661,1998,54,51,12961.0,1296,1,1998,3.0,0.05453389,1300,2.0,135,1.0,1.0,1.0,,0.0,54.53388888888889,39.841893,-80.630134,2010-06-07 09:28:35,2010-09-24 11:01:32
226076220010661,1998,54,51,15441.0,1544,1,1998,2.0,0.02257333,1200,2.0,140,1.0,1.0,1.0,,0.0,22.573333333333334,39.936202,-80.605656,2010-06-07 09:29:04,2010-09-24 11:01:32
226076000010661,1998,54,53,21.0,2,1,1998,3.0,0.00585917,600,1.0,0,5.0,1.0,2.0,,0.0,5.859166666666667,38.676901,-82.048026,2010-06-07 09:28:04,2010-09-24 11:01:32
226075961010661,1998,54,71,7361.0,736,1,1998,1.0,0.03174286,1880,1.0,0,2.0,1.0,1.0,,0.0,31.742857142857144,38.673383,-79.170397,2010-06-07 09:27:54,2010-09-24 11:01:32
226075967010661,1998,54,75,651.0,65,1,1998,1.0,0.023752,3000,1.0,0,4.0,1.0,1.0,,0.0,23.752,38.420975,-80.137062,2010-06-07 09:27:55,2010-09-24 11:01:32
226076103010661,1998,54,77,6871.0,687,1,1998,2.0,0.04483917,2340,2.0,45,1.0,1.0,1.0,,0.0,44.839166666666664,39.702235,-79.536704,2010-06-07 09:28:32,2010-09-24 11:01:32
226075955010661,1998,54,81,10151.0,1015,1,1998,1.0,0.0,1220,2.0,0,4.0,1.0,1.0,,0.0,0.0,37.757611,-81.041544,2010-06-07 09:27:52,2010-09-24 11:01:32
226075972010661,1998,54,83,15331.0,1533,1,1998,4.0,0.0,3100,1.0,0,4.0,1.0,1.0,,0.0,0.0,38.622423,-80.171744,2010-06-07 09:27:56,2010-09-24 11:01:32
226076117010661,1998,54,85,7821.0,782,1,1998,3.0,0.02318667,972,1.0,120,1.0,1.0,1.0,,0.0,23.186666666666667,39.266108,-81.110793,2010-06-07 09:28:36,2010-09-24 11:01:32
226075989010661,1998,54,87,4861.0,486,1,1998,4.0,0.02978987,1000,2.0,168,3.0,1.0,1.0,,0.0,29.789871351766514,38.652703,-81.167015,2010-06-07 09:28:01,2010-09-24 11:01:32
226075949010661,1998,54,89,271.0,27,1,1998,3.0,0.0,2300,1.0,140,1.0,1.0,1.0,,0.0,0.0,37.526967,-80.879928,2010-06-07 09:27:50,2010-09-24 11:01:32
226076092010661,1998,54,91,81.0,8,1,1998,4.0,0.02040042,1800,2.0,250,1.0,1.0,1.0,,0.0,20.40041666666667,39.355172,-79.931686,2010-06-07 09:28:29,2010-09-24 11:01:32
226076087010661,1998,54,93,10731.0,1073,1,1998,2.0,0.04030042,3400,2.0,0,1.0,2.0,2.0,,0.0,40.30041666666666,39.042931,-79.564374,2010-06-07 09:28:28,2010-09-24 11:01:32
226075876010661,1998,54,99,15581.0,1558,1,1998,3.0,0.00974944,600,1.0,250,3.0,1.0,1.0,,1.0,9.749444444444444,38.264396,-82.462287,2010-06-07 09:27:30,2010-09-24 11:01:32
226075953010661,1998,54,109,431.0,43,1,1998,3.0,0.0,2300,1.0,0,4.0,1.0,1.0,,0.0,0.0,37.619879,-81.399667,2010-06-07 09:27:52,2010-09-24 11:01:32
226075980010661,1998,54,21,11901.0,1190,1,1998,2.0,0.01501,800,1.0,0,5.0,1.0,2.0,,0.0,15.01,38.893755,-80.783499,2010-06-07 09:27:58,2010-09-24 11:01:32
226161006010661,2006,54,61,811.0,81,1,2006,3.0,0.0,960,1.0,0,3.0,1.0,1.0,,0.0,0.0,39.687664,-80.319792,2010-06-07 13:13:43,2010-09-24 11:01:18
226160691010661,2006,54,67,3711.0,371,1,2006,5.0,0.00134727,1838,1.0,23,3.0,1.0,1.0,,0.0,1.3472727272727272,38.267532,-80.908565,2010-06-07 13:11:53,2010-09-24 11:01:18
226147310010661,2001,54,13,10271.0,1027,1,2001,2.0,0.0,1250,2.0,0,1.0,1.0,1.0,,0.0,0.0,38.808474,-81.178075,2010-06-07 10:32:09,2010-09-24 11:01:18
226147205010661,2001,54,25,3051.0,305,1,2001,3.0,0.0,2250,1.0,180,1.0,2.0,1.0,,0.0,0.0,37.936086,-80.430911,2010-06-07 10:31:43,2010-09-24 11:01:19
226147472010661,2001,54,27,6891.0,689,1,2001,1.0,0.0,800,3.0,0,5.0,1.0,1.0,,0.0,0.0,39.326506,-78.365359,2010-06-07 10:32:56,2010-09-24 11:01:19
226147466010661,2001,54,31,6211.0,621,1,2001,2.0,0.0,1340,1.0,250,1.0,1.0,1.0,,0.0,0.0,39.112953,-78.933934,2010-06-07 10:32:55,2010-09-24 11:01:19
226147468010661,2001,54,31,5341.0,534,1,2001,1.0,0.0,1180,1.0,0,2.0,1.0,1.0,,0.0,0.0,39.09243,-78.64886,2010-06-07 10:32:55,2010-09-24 11:01:19
226147520010661,2001,54,33,10361.0,1036,1,2001,3.0,0.0,1150,1.0,105,2.0,1.0,1.0,,0.0,0.0,39.149462,-80.415679,2010-06-07 10:33:08,2010-09-24 11:01:19
226147307010661,2001,54,35,10691.0,1069,1,2001,1.0,0.0,760,1.0,230,3.0,1.0,1.0,,0.0,0.0,38.744251,-81.6414,2010-06-07 10:32:08,2010-09-24 11:01:19
226147312010661,2001,54,35,7261.0,726,1,2001,1.0,0.0,700,2.0,0,1.0,1.0,1.0,,0.0,0.0,38.729198,-81.690339,2010-06-07 10:32:10,2010-09-24 11:01:19
226147533010661,2001,54,35,14381.0,1438,1,2001,2.0,0.0,700,2.0,359,4.0,2.0,1.0,,0.0,0.0,38.977349,-81.618488,2010-06-07 10:33:11,2010-09-24 11:01:19
226147470010661,2001,54,37,3091.0,309,1,2001,1.0,0.0,450,2.0,0,2.0,1.0,1.0,,0.0,0.0,39.341752,-77.819402,2010-06-07 10:32:55,2010-09-24 11:01:19
226147071010661,2001,54,41,13521.0,1352,1,2001,4.0,0.00240667,1000,1.0,0,3.0,1.0,1.0,,0.0,2.4066666666666667,39.046049,-80.352708,2010-06-07 10:31:10,2010-09-24 11:01:19
226147305010661,2001,54,41,4471.0,447,1,2001,5.0,0.0,1600,2.0,0,1.0,1.0,1.0,,0.0,0.0,38.989437,-80.371804,2010-06-07 10:32:08,2010-09-24 11:01:19
226147822010661,2001,54,51,15441.0,1544,1,2001,1.0,0.0,1200,1.0,0,1.0,1.0,1.0,,0.0,0.0,39.936202,-80.605656,2010-06-07 10:34:31,2010-09-24 11:01:19
226147209010661,2001,54,55,4261.0,426,1,2001,3.0,0.0,2100,1.0,98,3.0,1.0,1.0,,0.0,0.0,37.271493,-81.202696,2010-06-07 10:31:44,2010-09-24 11:01:19
226147201010661,2001,54,63,14441.0,1444,1,2001,3.0,0.0,2700,1.0,315,3.0,1.0,1.0,,0.0,0.0,37.52933,-80.447571,2010-06-07 10:31:42,2010-09-24 11:01:19
226147281010661,2001,54,71,7361.0,736,1,2001,1.0,0.0,1860,1.0,0,2.0,1.0,1.0,,0.0,0.0,38.673383,-79.170397,2010-06-07 10:32:02,2010-09-24 11:01:19
226147283010661,2001,54,71,12871.0,1287,1,2001,1.0,0.0,1540,1.0,0,5.0,1.0,1.0,,0.0,0.0,38.930396,-79.318274,2010-06-07 10:32:02,2010-09-24 11:01:19
226147291010661,2001,54,75,651.0,65,1,2001,2.0,0.0,3300,2.0,0,4.0,1.0,1.0,,0.0,0.0,38.420975,-80.137062,2010-06-07 10:32:04,2010-09-24 11:01:19
226147499010661,2001,54,77,6871.0,687,1,2001,3.0,0.0,2340,2.0,50,2.0,1.0,1.0,,0.0,0.0,39.702235,-79.536704,2010-06-07 10:33:03,2010-09-24 11:01:19
226147216010661,2001,54,81,10151.0,1015,1,2001,2.0,0.0,2700,2.0,0,1.0,1.0,1.0,,0.0,0.0,37.757611,-81.041544,2010-06-07 10:31:46,2010-09-24 11:01:19
226147220010661,2001,54,81,7851.0,785,1,2001,3.0,0.06194194,1700,1.0,134,3.0,1.0,1.0,,0.0,61.941944444444445,37.862634,-81.338596,2010-06-07 10:31:46,2010-09-24 11:01:19
226147288010661,2001,54,83,3671.0,367,1,2001,4.0,0.0,1967,2.0,235,1.0,1.0,1.0,,0.0,0.0,38.922892,-79.807305,2010-06-07 10:32:04,2010-09-24 11:01:19
226147299010661,2001,54,83,15331.0,1533,1,2001,3.0,0.0,3510,2.0,0,3.0,2.0,3.0,,0.0,0.0,38.622423,-80.171744,2010-06-07 10:32:06,2010-09-24 11:01:19
226147516010661,2001,54,85,9211.0,921,1,2001,1.0,0.0,770,2.0,360,5.0,1.0,1.0,,0.0,0.0,39.094178,-80.927745,2010-06-07 10:33:07,2010-09-24 11:01:19
226147530010661,2001,54,85,5651.0,565,1,2001,2.0,0.04473,829,1.0,0,1.0,1.0,1.0,,0.0,44.73,39.199786,-81.091589,2010-06-07 10:33:11,2010-09-24 11:01:19
226147480010661,2001,54,93,6311.0,631,1,2001,3.0,0.0,1700,2.0,55,3.0,1.0,1.0,,0.0,0.0,39.234317,-79.686242,2010-06-07 10:32:58,2010-09-24 11:01:19
226147066010661,2001,54,99,15581.0,1558,1,2001,3.0,0.0,1000,1.0,0,3.0,1.0,1.0,,0.0,0.0,38.264396,-82.462287,2010-06-07 10:31:09,2010-09-24 11:01:19
226147295010661,2001,54,101,5981.0,598,1,2001,3.0,0.0,2521,1.0,0,1.0,1.0,1.0,,0.0,0.0,38.409709,-80.547817,2010-06-07 10:32:05,2010-09-24 11:01:19
226147523010661,2001,54,103,6931.0,693,1,2001,2.0,0.0,1240,1.0,60,1.0,1.0,1.0,,0.0,0.0,39.576661,-80.73558,2010-06-07 10:33:08,2010-09-24 11:01:19
226147213010661,2001,54,109,1241.0,124,1,2001,3.0,0.0,1800,1.0,80,3.0,1.0,1.0,,0.0,0.0,37.753749,-81.719654,2010-06-07 10:31:45,2010-09-24 11:01:19
234061245010661,2009,54,99,15581.0,1558,1,2009,3.0,0.00112,605,1.0,250,3.0,1.0,1.0,,0.0,1.12,38.264396,-82.462287,2010-09-20 12:33:26,2010-10-06 08:23:40
