CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,TRANSECT,SEGMNT,MEASYEAR,CONDID,SLOPE_BEGNDIST,SLOPE_ENDDIST,SLOPE,HORIZ_LENGTH,HORIZ_BEGNDIST,HORIZ_ENDDIST,CREATED_DATE,MODIFIED_DATE,SEGMNT_STATUS_CD,SEGMNT_NONSAMPLE_REASN_CD,TRANSECT_LENGTH
42801921020004,60265152010538,2004,54,3,610,4,150,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2012-06-06 07:13:18,2026-06-25 13:31:35,,,
42801922020004,60265152010538,2004,54,3,610,4,270,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2012-06-06 07:13:18,2026-06-25 13:31:35,,,
56707051010538,60265847010538,2004,54,5,1861,1,30,1,2004,1,0.0,26.832815729997,50,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56707055010538,60265847010538,2004,54,5,1861,1,150,1,2004,1,0.0,26.832815729997,50,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56707058010538,60265847010538,2004,54,5,1861,1,270,1,2004,1,0.0,24.029981273401,5,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56707061010538,60265847010538,2004,54,5,1861,2,30,1,2004,1,0.0,25.056735621385,30,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56707063010538,60265847010538,2004,54,5,1861,2,150,1,2004,1,0.0,25.427544120501,35,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56707072010538,60265847010538,2004,54,5,1861,2,270,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56707077010538,60265847010538,2004,54,5,1861,3,30,1,2004,2,0.0,24.0,0,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56707078010538,60265847010538,2004,54,5,1861,3,150,1,2004,2,0.0,24.0,0,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56707079010538,60265847010538,2004,54,5,1861,3,270,1,2004,2,0.0,24.0,0,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56707080010538,60265847010538,2004,54,5,1861,4,30,1,2004,1,0.0,25.427544120501,35,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56707083010538,60265847010538,2004,54,5,1861,4,150,1,2004,1,0.0,25.427544120501,35,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56707086010538,60265847010538,2004,54,5,1861,4,270,1,2004,1,0.0,24.029981273401,5,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56706864010538,60266563010538,2004,54,7,1499,1,30,1,2004,1,0.0,24.029981273401,5,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56706866010538,60266563010538,2004,54,7,1499,1,150,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56706869010538,60266563010538,2004,54,7,1499,1,270,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56706872010538,60266563010538,2004,54,7,1499,2,30,1,2004,1,0.0,24.11970149069,10,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56706875010538,60266563010538,2004,54,7,1499,2,150,1,2004,1,0.0,24.11970149069,10,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56706878010538,60266563010538,2004,54,7,1499,2,270,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56706881010538,60266563010538,2004,54,7,1499,3,30,1,2004,1,0.0,24.268498099388,15,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56706883010538,60266563010538,2004,54,7,1499,3,150,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56706886010538,60266563010538,2004,54,7,1499,3,270,1,2004,1,0.0,24.268498099388,15,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56706889010538,60266563010538,2004,54,7,1499,4,30,1,2004,1,0.0,24.029981273401,5,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56706891010538,60266563010538,2004,54,7,1499,4,150,1,2004,1,0.0,24.029981273401,5,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56706894010538,60266563010538,2004,54,7,1499,4,270,1,2004,1,0.0,24.11970149069,10,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56706955010538,60266401010538,2004,54,7,1744,1,30,1,2004,1,0.0,24.475293665245,20,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56706957010538,60266401010538,2004,54,7,1744,1,150,1,2004,1,0.0,26.318054639354,45,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56706960010538,60266401010538,2004,54,7,1744,1,270,1,2004,1,0.0,24.268498099388,15,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56706966010538,60266401010538,2004,54,7,1744,2,30,1,2004,1,0.0,24.11970149069,10,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56706968010538,60266401010538,2004,54,7,1744,2,150,1,2004,1,0.0,25.056735621385,30,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56706971010538,60266401010538,2004,54,7,1744,2,270,1,2004,1,0.0,25.427544120501,35,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56706974010538,60266401010538,2004,54,7,1744,3,30,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56706977010538,60266401010538,2004,54,7,1744,3,150,1,2004,1,0.0,24.738633753706,25,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56706980010538,60266401010538,2004,54,7,1744,3,270,1,2004,1,0.0,27.988569095257,60,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56706984010538,60266401010538,2004,54,7,1744,4,30,1,2004,1,0.0,25.056735621385,30,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56706987010538,60266401010538,2004,54,7,1744,4,150,1,2004,1,0.0,25.056735621385,30,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56706991010538,60266401010538,2004,54,7,1744,4,270,1,2004,1,0.0,25.848791074246,40,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56707264010538,60267085010538,2004,54,11,797,1,30,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56707266010538,60267085010538,2004,54,11,797,1,150,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56707269010538,60267085010538,2004,54,11,797,1,270,1,2004,1,0.0,26.832815729997,50,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56707272010538,60267085010538,2004,54,11,797,2,30,1,2004,1,0.0,24.11970149069,10,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56707274010538,60267085010538,2004,54,11,797,2,150,1,2004,1,0.0,24.11970149069,10,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56707277010538,60267085010538,2004,54,11,797,2,270,1,2004,1,0.0,25.427544120501,35,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56707280010538,60267085010538,2004,54,11,797,3,30,1,2004,1,0.0,24.11970149069,10,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56707282010538,60267085010538,2004,54,11,797,3,150,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56707285010538,60267085010538,2004,54,11,797,3,270,1,2004,1,0.0,27.390509305232,55,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56707288010538,60267085010538,2004,54,11,797,4,30,1,2004,2,0.0,24.0,0,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56707289010538,60267085010538,2004,54,11,797,4,150,1,2004,2,0.0,24.0,0,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56707290010538,60267085010538,2004,54,11,797,4,270,1,2004,2,0.0,24.0,0,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56708066010538,60267985010538,2004,54,17,1054,1,30,1,2004,1,0.0,25.056735621385,30,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56708069010538,60267985010538,2004,54,17,1054,1,150,1,2004,1,0.0,24.738633753706,25,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56708072010538,60267985010538,2004,54,17,1054,1,270,1,2004,1,0.0,25.427544120501,35,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56708075010538,60267985010538,2004,54,17,1054,2,30,1,2004,1,0.0,24.475293665245,20,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56708078010538,60267985010538,2004,54,17,1054,2,150,1,2004,1,0.0,27.390509305232,55,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56708081010538,60267985010538,2004,54,17,1054,2,270,1,2004,1,0.0,27.988569095257,60,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56708084010538,60267985010538,2004,54,17,1054,3,30,1,2004,1,0.0,24.475293665245,20,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56708086010538,60267985010538,2004,54,17,1054,3,150,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56708089010538,60267985010538,2004,54,17,1054,3,270,1,2004,1,0.0,24.475293665245,20,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56708092010538,60267985010538,2004,54,17,1054,4,30,1,2004,1,0.0,24.029981273401,5,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56708099010538,60267985010538,2004,54,17,1054,4,150,1,2004,1,0.0,24.11970149069,10,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56708105010538,60267985010538,2004,54,17,1054,4,270,1,2004,1,0.0,25.427544120501,35,24.0,0.0,24.0,2005-10-31 11:59:18,2026-06-25 13:31:35,,,
56706210010538,60271004010538,2004,54,25,2197,1,30,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56706211010538,60271004010538,2004,54,25,2197,1,150,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56706212010538,60271004010538,2004,54,25,2197,1,270,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56706213010538,60271004010538,2004,54,25,2197,2,30,1,2004,1,0.0,25.427544120501,35,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56706215010538,60271004010538,2004,54,25,2197,2,150,1,2004,1,0.0,24.029981273401,5,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56706218010538,60271004010538,2004,54,25,2197,2,270,1,2004,1,0.0,24.738633753706,25,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56706221010538,60271004010538,2004,54,25,2197,3,30,1,2004,1,0.0,24.738633753706,25,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56706223010538,60271004010538,2004,54,25,2197,3,150,1,2004,1,0.0,24.738633753706,25,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56706226010538,60271004010538,2004,54,25,2197,3,270,1,2004,1,0.0,24.738633753706,25,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56706229010538,60271004010538,2004,54,25,2197,4,30,1,2004,1,0.0,24.268498099388,15,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56706231010538,60271004010538,2004,54,25,2197,4,150,1,2004,1,0.0,24.268498099388,15,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56706234010538,60271004010538,2004,54,25,2197,4,270,1,2004,1,0.0,24.029981273401,5,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56706761010538,60270544010538,2004,54,25,2331,1,30,1,2004,1,0.0,26.832815729997,50,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:34,,,
56706763010538,60270544010538,2004,54,25,2331,1,150,1,2004,1,0.0,24.475293665245,20,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:34,,,
56706766010538,60270544010538,2004,54,25,2331,1,270,1,2004,1,0.0,27.390509305232,55,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:34,,,
56706771010538,60270544010538,2004,54,25,2331,2,30,1,2004,1,0.0,24.268498099388,15,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:34,,,
56706776010538,60270544010538,2004,54,25,2331,2,150,1,2004,1,0.0,24.268498099388,15,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:34,,,
56706779010538,60270544010538,2004,54,25,2331,2,270,1,2004,1,0.0,26.318054639354,45,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:34,,,
56706782010538,60270544010538,2004,54,25,2331,3,30,1,2004,1,0.0,24.268498099388,15,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:34,,,
56706785010538,60270544010538,2004,54,25,2331,3,150,1,2004,1,0.0,24.738633753706,25,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56706788010538,60270544010538,2004,54,25,2331,3,270,1,2004,1,0.0,25.427544120501,35,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56706792010538,60270544010538,2004,54,25,2331,4,30,1,2004,1,0.0,24.029981273401,5,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56706795010538,60270544010538,2004,54,25,2331,4,150,1,2004,1,0.0,27.390509305232,55,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56706798010538,60270544010538,2004,54,25,2331,4,270,1,2004,1,0.0,27.390509305232,55,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
42801729020004,60271781010538,2004,54,27,1214,1,30,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2012-06-06 07:13:17,2026-06-25 13:31:35,,,
42801730020004,60271781010538,2004,54,27,1214,1,150,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2012-06-06 07:13:17,2026-06-25 13:31:35,,,
42801731020004,60271781010538,2004,54,27,1214,1,270,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2012-06-06 07:13:17,2026-06-25 13:31:35,,,
42801732020004,60271781010538,2004,54,27,1214,2,30,1,2004,2,0.0,24.0,0,24.0,0.0,24.0,2012-06-06 07:13:17,2026-06-25 13:31:35,,,
42801733020004,60271781010538,2004,54,27,1214,2,150,1,2004,2,0.0,24.0,0,24.0,0.0,24.0,2012-06-06 07:13:17,2026-06-25 13:31:35,,,
42801734020004,60271781010538,2004,54,27,1214,2,270,1,2004,2,0.0,24.0,0,24.0,0.0,24.0,2012-06-06 07:13:17,2026-06-25 13:31:35,,,
42801735020004,60271781010538,2004,54,27,1214,3,30,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2012-06-06 07:13:17,2026-06-25 13:31:35,,,
42801736020004,60271781010538,2004,54,27,1214,3,150,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2012-06-06 07:13:17,2026-06-25 13:31:35,,,
42801737020004,60271781010538,2004,54,27,1214,3,270,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2012-06-06 07:13:17,2026-06-25 13:31:35,,,
42801738020004,60271781010538,2004,54,27,1214,4,30,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2012-06-06 07:13:17,2026-06-25 13:31:35,,,
42801739020004,60271781010538,2004,54,27,1214,4,150,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2012-06-06 07:13:17,2026-06-25 13:31:35,,,
42801740020004,60271781010538,2004,54,27,1214,4,270,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2012-06-06 07:13:17,2026-06-25 13:31:35,,,
56707601010538,60272420010538,2004,54,31,598,1,30,1,2004,1,0.0,24.11970149069,10,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56707603010538,60272420010538,2004,54,31,598,1,150,1,2004,1,0.0,24.268498099388,15,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56707606010538,60272420010538,2004,54,31,598,1,270,1,2004,1,0.0,24.11970149069,10,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56707609010538,60272420010538,2004,54,31,598,2,30,1,2004,1,0.0,24.268498099388,15,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56707611010538,60272420010538,2004,54,31,598,2,150,1,2004,1,0.0,24.475293665245,20,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56707614010538,60272420010538,2004,54,31,598,2,270,1,2004,1,0.0,24.11970149069,10,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56707617010538,60272420010538,2004,54,31,598,3,30,1,2004,1,0.0,24.11970149069,10,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56707619010538,60272420010538,2004,54,31,598,3,150,1,2004,1,0.0,24.475293665245,20,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56707622010538,60272420010538,2004,54,31,598,3,270,1,2004,1,0.0,24.029981273401,5,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56707625010538,60272420010538,2004,54,31,598,4,30,1,2004,1,0.0,24.11970149069,10,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56707627010538,60272420010538,2004,54,31,598,4,150,1,2004,1,0.0,24.268498099388,15,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56707631010538,60272420010538,2004,54,31,598,4,270,1,2004,1,0.0,24.11970149069,10,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56706710010538,60271920010538,2004,54,31,2183,1,30,1,2004,1,0.0,24.11970149069,10,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:34,,,
56706712010538,60271920010538,2004,54,31,2183,1,150,1,2004,1,0.0,25.056735621385,30,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:34,,,
56706715010538,60271920010538,2004,54,31,2183,1,270,1,2004,1,0.0,24.475293665245,20,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:34,,,
56706718010538,60271920010538,2004,54,31,2183,2,30,1,2004,2,0.0,24.11970149069,10,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:34,,,
56706721010538,60271920010538,2004,54,31,2183,2,150,1,2004,2,0.0,26.318054639354,45,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:34,,,
56706724010538,60271920010538,2004,54,31,2183,2,270,1,2004,2,0.0,24.11970149069,10,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:34,,,
56706728010538,60271920010538,2004,54,31,2183,3,30,1,2004,1,0.0,24.029981273401,5,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:34,,,
56706732010538,60271920010538,2004,54,31,2183,3,150,1,2004,1,0.0,24.738633753706,25,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:34,,,
56706736010538,60271920010538,2004,54,31,2183,3,270,1,2004,1,0.0,24.475293665245,20,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:34,,,
56706739010538,60271920010538,2004,54,31,2183,4,30,1,2004,1,0.0,24.029981273401,5,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:34,,,
56706743010538,60271920010538,2004,54,31,2183,4,150,1,2004,1,0.0,24.268498099388,15,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:34,,,
56706746010538,60271920010538,2004,54,31,2183,4,270,1,2004,1,0.0,25.056735621385,30,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:34,,,
56707156010538,60274986010538,2004,54,39,649,1,30,1,2004,1,0.0,25.848791074246,40,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56707158010538,60274986010538,2004,54,39,649,1,150,1,2004,1,0.0,27.390509305232,55,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56707161010538,60274986010538,2004,54,39,649,1,270,1,2004,1,0.0,24.0,0,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56707167010538,60274986010538,2004,54,39,649,2,30,1,2004,2,0.0,26.318054639354,45,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56707170010538,60274986010538,2004,54,39,649,2,150,1,2004,2,0.0,25.427544120501,35,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56707175010538,60274986010538,2004,54,39,649,2,270,1,2004,2,0.0,24.029981273401,5,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56707181010538,60274986010538,2004,54,39,649,3,30,1,2004,1,0.0,28.624465060504,65,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56707184010538,60274986010538,2004,54,39,649,3,150,1,2004,1,0.0,24.11970149069,10,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56707187010538,60274986010538,2004,54,39,649,3,270,1,2004,1,0.0,24.029981273401,5,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56707192010538,60274986010538,2004,54,39,649,4,30,1,2004,1,0.0,27.988569095257,60,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56707195010538,60274986010538,2004,54,39,649,4,150,1,2004,1,0.0,24.475293665245,20,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56707201010538,60274986010538,2004,54,39,649,4,270,1,2004,1,0.0,24.268498099388,15,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56707101010538,60274807010538,2004,54,39,1369,1,30,1,2004,1,0.0,25.427544120501,35,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
56707108010538,60274807010538,2004,54,39,1369,1,150,1,2004,1,0.0,30.0,75,24.0,0.0,24.0,2005-10-31 11:59:19,2026-06-25 13:31:35,,,
