CN,PLT_CN,VVT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,VEG_SUBP_STATUS_CD,VEG_SUBP_NONSAMPLE_REASN_CD,SUBP_ACCESSIBLE_FOREST_PCT,DETAILED_NONFOREST_LAND_USE,TOTAL_CANOPY_COVER_LAYER_1,TOTAL_CANOPY_COVER_LAYER_2,TOTAL_CANOPY_COVER_LAYER_3,TOTAL_CANOPY_COVER_LAYER_4,CRYPTO_CRUST_COVER_PCT,LICHEN_COVER_PCT,LITTER_DUFF_COVER_PCT,MINERAL_SOIL_COVER_PCT,MOSS_COVER_PCT,ROAD_TRAIL_COVER_PCT,ROCK_COVER_PCT,STANDING_WATER_COVER_PCT,STREAM_LAKE_COVER_PCT,TRASH_JUNK_COVER_PCT,WOOD_COVER_PCT,VEG_SUBP_STATUS_CD_PRE2004,VEG_SUBP_NONSMP_RSN_CD_PRE2004,CREATED_DATE,MODIFIED_DATE
249353191010661,169113125010661,249353192010661,2010,54,107,762,4,2,,,,,,,,,,,,,,,,,,,2,,2011-06-06 07:01:50,
249350172010661,169113149010661,249350176010661,2010,54,35,1145,1,1,,42,32,42,18,40,42,0,1,25,2,3,0,3,0,0,0,8,2,,2011-06-06 07:01:40,
249350173010661,169113149010661,249350176010661,2010,54,35,1145,2,1,,100,,65,12,70,95,0,1,74,4,2,0,4,0,0,0,15,1,,2011-06-06 07:01:40,
249350174010661,169113149010661,249350176010661,2010,54,35,1145,3,1,,61,32,58,55,58,61,0,1,36,1,2,0,1,0,0,0,20,1,,2011-06-06 07:01:40,
249350175010661,169113149010661,249350176010661,2010,54,35,1145,4,1,,70,32,60,20,16,70,0,1,38,8,1,0,3,0,0,0,19,1,,2011-06-06 07:01:40,
249351392010661,169113193010661,249351396010661,2010,54,59,1096,1,1,,92,40,78,28,6,87,0,0,46,6,9,0,10,0,15,0,6,1,,2011-06-06 07:01:44,
249351393010661,169113193010661,249351396010661,2010,54,59,1096,2,1,,100,,88,82,76,80,0,0,78,4,2,0,2,0,0,0,14,1,,2011-06-06 07:01:44,
249351394010661,169113193010661,249351396010661,2010,54,59,1096,3,3,4,,,,,,,,,,,,,,,,,,3,4,2011-06-06 07:01:44,
249351395010661,169113193010661,249351396010661,2010,54,59,1096,4,1,,100,,78,40,32,95,0,0,81,4,1,0,0,0,0,0,14,1,,2011-06-06 07:01:44,
249353076010661,169113235010661,249353080010661,2010,54,99,1003,1,1,,100,,72,12,50,90,0,1,75,1,4,0,6,0,0,0,13,1,,2011-06-06 07:01:49,
249353077010661,169113235010661,249353080010661,2010,54,99,1003,2,1,,100,,90,11,57,88,0,0,87,2,2,0,0,0,0,0,9,1,,2011-06-06 07:01:49,
249353078010661,169113235010661,249353080010661,2010,54,99,1003,3,1,,100,,72,3,18,98,0,1,82,1,4,0,3,0,0,0,9,1,,2011-06-06 07:01:49,
249353079010661,169113235010661,249353080010661,2010,54,99,1003,4,1,,100,,95,80,72,78,0,0,88,0,3,0,1,0,0,0,8,1,,2011-06-06 07:01:49,
249349429010661,169113285010661,249349433010661,2010,54,15,1378,1,1,,100,,88,22,67,95,0,1,18,55,6,0,6,0,0,0,14,1,,2011-06-06 07:01:37,
249349430010661,169113285010661,249349433010661,2010,54,15,1378,2,1,,100,,99,18,15,99,0,0,18,65,1,0,3,0,0,0,13,1,,2011-06-06 07:01:37,
249349431010661,169113285010661,249349433010661,2010,54,15,1378,3,1,,100,,76,48,60,99,0,0,72,14,1,0,5,0,0,0,8,1,,2011-06-06 07:01:37,
249349432010661,169113285010661,249349433010661,2010,54,15,1378,4,1,,100,,95,35,55,95,0,0,18,62,0,0,1,0,0,0,19,1,,2011-06-06 07:01:37,
249351715010661,169113311010661,249351719010661,2010,54,65,1431,1,1,,100,,65,21,83,100,0,1,82,0,8,0,0,0,0,0,9,1,,2011-06-06 07:01:45,
249351716010661,169113311010661,249351719010661,2010,54,65,1431,2,1,,100,,51,65,72,99,0,1,66,1,12,0,9,0,0,0,11,1,,2011-06-06 07:01:45,
249351717010661,169113311010661,249351719010661,2010,54,65,1431,3,1,,100,,24,38,79,100,0,1,82,2,1,0,0,0,0,0,14,1,,2011-06-06 07:01:45,
249351718010661,169113311010661,249351719010661,2010,54,65,1431,4,1,,100,,22,24,72,92,0,1,70,0,8,0,2,0,0,0,19,1,,2011-06-06 07:01:45,
249352404010661,169113319010661,249352408010661,2010,54,77,1835,1,1,,100,,100,72,33,24,0,0,58,34,0,0,6,0,0,0,2,1,,2011-06-06 07:01:47,
249352405010661,169113319010661,249352408010661,2010,54,77,1835,2,1,,100,,98,92,67,71,0,0,65,16,1,0,2,0,0,0,16,1,,2011-06-06 07:01:47,
249352406010661,169113319010661,249352408010661,2010,54,77,1835,3,1,,100,,100,95,6,12,0,0,51,27,1,0,2,0,0,0,19,1,,2011-06-06 07:01:47,
249352407010661,169113319010661,249352408010661,2010,54,77,1835,4,1,,100,,99,85,36,44,0,0,70,14,1,0,1,0,0,0,14,1,,2011-06-06 07:01:47,
249352686010661,169113349010661,249352690010661,2010,54,81,1604,1,2,,,,,,,,,,,,,,,,,,,2,,2011-06-06 07:01:48,
249352687010661,169113349010661,249352690010661,2010,54,81,1604,2,2,,,,,,,,,,,,,,,,,,,2,,2011-06-06 07:01:48,
249352688010661,169113349010661,249352690010661,2010,54,81,1604,3,1,,22,32,5,21,20,21,0,0,16,3,0,0,0,0,0,1,2,2,,2011-06-06 07:01:48,
249352689010661,169113349010661,249352690010661,2010,54,81,1604,4,1,,100,,90,65,54,95,0,1,80,4,6,0,4,0,0,0,5,1,,2011-06-06 07:01:48,
249352563010661,169113379010661,249352567010661,2010,54,79,1640,1,1,,100,,48,32,86,98,0,1,72,10,5,0,4,0,0,0,8,1,,2011-06-06 07:01:47,
249352564010661,169113379010661,249352567010661,2010,54,79,1640,2,1,,100,,47,38,85,98,0,0,90,1,2,0,1,0,0,0,6,1,,2011-06-06 07:01:47,
249352565010661,169113379010661,249352567010661,2010,54,79,1640,3,1,,100,,19,20,88,95,0,0,87,0,2,0,0,0,0,0,11,1,,2011-06-06 07:01:47,
249352566010661,169113379010661,249352567010661,2010,54,79,1640,4,1,,100,,78,34,62,95,0,0,90,0,1,0,0,0,0,0,9,1,,2011-06-06 07:01:47,
236068678010661,145007449010661,236068682010661,2009,54,61,2189,1,1,,100,,60,70,88,55,0,1,91,0,2,0,1,0,0,0,5,1,,2010-11-05 10:21:21,
236068679010661,145007449010661,236068682010661,2009,54,61,2189,2,1,,100,,75,75,51,90,0,1,84,1,7,0,2,0,0,0,5,1,,2010-11-05 10:21:21,
236068680010661,145007449010661,236068682010661,2009,54,61,2189,3,1,,100,,60,65,40,85,0,1,89,0,3,0,1,0,0,0,6,1,,2010-11-05 10:21:21,
236068681010661,145007449010661,236068682010661,2009,54,61,2189,4,1,,100,,70,60,65,55,0,1,90,1,3,0,1,0,0,0,4,1,,2010-11-05 10:21:21,
236063631010661,145007461010661,236063635010661,2009,54,1,1932,1,1,,100,,60,100,65,20,0,0,98,0,1,0,0,0,0,0,1,1,,2010-11-05 10:21:12,
236063632010661,145007461010661,236063635010661,2009,54,1,1932,2,1,,100,,70,40,50,65,0,1,94,2,1,0,0,0,0,0,2,1,,2010-11-05 10:21:12,
236063633010661,145007461010661,236063635010661,2009,54,1,1932,3,1,,100,,60,80,80,50,0,1,93,4,1,0,0,0,0,0,1,1,,2010-11-05 10:21:12,
236063634010661,145007461010661,236063635010661,2009,54,1,1932,4,1,,100,,100,80,30,75,0,1,97,0,1,0,0,0,0,0,1,1,,2010-11-05 10:21:12,
236065400010661,145007475010661,236065404010661,2009,54,97,2114,1,1,,100,,60,17,5,90,0,1,92,1,2,0,0,0,0,0,4,1,,2010-11-05 10:21:23,
236065401010661,145007475010661,236065404010661,2009,54,97,2114,2,1,,69,32,41,16,34,69,0,1,61,3,1,0,1,0,0,0,2,1,,2010-11-05 10:21:23,
236065402010661,145007475010661,236065404010661,2009,54,97,2114,3,1,,23,32,20,15,8,23,0,1,17,2,1,0,1,0,0,0,1,2,,2010-11-05 10:21:23,
236065403010661,145007475010661,236065404010661,2009,54,97,2114,4,1,,100,,70,40,20,95,0,1,92,0,1,0,0,0,0,0,6,1,,2010-11-05 10:21:23,
236066173010661,145007489010661,236066177010661,2009,54,25,2197,1,1,,100,,60,11,14,95,0,1,94,0,1,0,0,0,0,0,4,1,,2010-11-05 10:21:16,
236065064010661,145008043010661,236065067010661,2009,54,77,1290,2,1,,100,,80,85,55,60,0,1,90,0,1,0,0,0,0,0,8,1,,2010-11-05 10:21:22,
236065065010661,145008043010661,236065067010661,2009,54,77,1290,3,1,,100,,95,95,25,60,0,1,83,0,1,0,0,0,0,0,15,1,,2010-11-05 10:21:22,
236065066010661,145008043010661,236065067010661,2009,54,77,1290,4,1,,100,,95,85,31,16,0,1,92,1,1,0,0,0,0,0,5,1,,2010-11-05 10:21:22,
236065749010661,145008085010661,236065753010661,2009,54,5,1861,1,1,,100,,45,15,25,90,0,1,68,25,1,0,1,0,0,0,4,1,,2010-11-05 10:21:13,
236065750010661,145008085010661,236065753010661,2009,54,5,1861,2,1,,100,,70,35,30,85,0,1,77,11,1,0,0,0,0,0,10,1,,2010-11-05 10:21:13,
236065751010661,145008085010661,236065753010661,2009,54,5,1861,3,3,3,,,,,,,,,,,,,,,,,,3,3,2010-11-05 10:21:13,
236065752010661,145008085010661,236065753010661,2009,54,5,1861,4,1,,100,,50,25,30,90,0,1,91,5,1,0,0,0,0,0,2,1,,2010-11-05 10:21:13,
236067636010661,145008093010661,236067640010661,2009,54,59,257,1,1,,100,,50,75,90,90,0,1,91,2,2,0,2,0,0,0,2,1,,2010-11-05 10:21:20,
236067637010661,145008093010661,236067640010661,2009,54,59,257,2,1,,100,,50,60,90,90,0,1,93,2,1,0,1,0,0,0,2,1,,2010-11-05 10:21:20,
236067639010661,145008093010661,236067640010661,2009,54,59,257,4,1,,100,,60,50,80,90,0,1,89,2,4,0,1,0,0,0,3,1,,2010-11-05 10:21:20,
236065556010661,145008105010661,236065558010661,2009,54,101,2463,3,1,,100,,18,30,27,95,0,2,58,1,30,0,3,0,0,0,6,1,,2010-11-05 10:21:24,
236065557010661,145008105010661,236065558010661,2009,54,101,2463,4,1,,100,,25,13,15,95,0,1,58,1,30,0,6,0,0,0,4,1,,2010-11-05 10:21:24,
236065949010661,145008167010661,236065953010661,2009,54,25,2331,1,1,,100,,20,7,14,95,0,1,88,8,1,0,0,0,0,0,2,1,,2010-11-05 10:21:16,
236065950010661,145008167010661,236065953010661,2009,54,25,2331,2,1,,100,,95,70,25,45,0,1,93,1,1,0,0,0,0,0,4,1,,2010-11-05 10:21:16,
236065951010661,145008167010661,236065953010661,2009,54,25,2331,3,1,,100,,98,75,39,43,0,1,92,3,1,0,0,0,0,0,3,1,,2010-11-05 10:21:16,
236065952010661,145008167010661,236065953010661,2009,54,25,2331,4,1,,100,,60,25,15,90,0,1,91,4,1,0,0,0,0,0,3,1,,2010-11-05 10:21:16,
236069348010661,174547884010661,236069352010661,2009,54,103,3601,1,1,,100,,90,80,38,85,0,1,82,1,4,0,0,0,0,0,12,1,,2010-11-05 10:21:25,
236069349010661,174547884010661,236069352010661,2009,54,103,3601,2,1,,100,,90,65,15,35,0,1,80,0,1,0,0,0,0,0,18,1,,2010-11-05 10:21:25,
236069350010661,174547884010661,236069352010661,2009,54,103,3601,3,1,,100,,80,35,15,95,0,1,88,3,2,0,2,0,0,0,4,1,,2010-11-05 10:21:25,
236069351010661,174547884010661,236069352010661,2009,54,103,3601,4,1,,100,,85,60,27,90,0,1,90,1,1,0,1,0,0,0,6,1,,2010-11-05 10:21:25,
249349765010661,169112363010661,249349769010661,2010,54,27,602,1,1,,100,,86,86,27,30,0,1,86,0,7,0,3,0,0,0,3,1,,2011-06-06 07:01:39,
249349766010661,169112363010661,249349769010661,2010,54,27,602,2,1,,100,,52,52,19,24,0,1,65,4,14,0,5,0,0,0,11,1,,2011-06-06 07:01:39,
249349767010661,169112363010661,249349769010661,2010,54,27,602,3,1,,100,,89,95,42,66,0,3,77,2,8,0,5,0,0,0,5,1,,2011-06-06 07:01:39,
249349768010661,169112363010661,249349769010661,2010,54,27,602,4,1,,100,,16,14,87,99,0,1,28,10,45,0,5,0,0,0,11,1,,2011-06-06 07:01:39,
249351944010661,169112397010661,249351948010661,2010,54,71,1818,1,1,,100,,95,65,45,70,0,1,88,0,1,0,5,0,0,0,5,1,,2011-06-06 07:01:46,
249351945010661,169112397010661,249351948010661,2010,54,71,1818,2,1,,100,,99,90,33,32,0,3,82,0,5,0,5,0,0,0,5,1,,2011-06-06 07:01:46,
249351946010661,169112397010661,249351948010661,2010,54,71,1818,3,1,,100,,95,82,24,42,0,2,88,0,1,0,5,0,0,0,4,1,,2011-06-06 07:01:46,
249351947010661,169112397010661,249351948010661,2010,54,71,1818,4,1,,100,,98,90,22,75,0,1,86,0,4,0,4,0,0,0,5,1,,2011-06-06 07:01:46,
249352090010661,169112451010661,249352094010661,2010,54,71,2100,1,1,,100,,25,8,43,100,0,1,86,1,1,0,3,0,0,0,8,1,,2011-06-06 07:01:46,
249352091010661,169112451010661,249352094010661,2010,54,71,2100,2,1,,100,,77,5,15,70,0,1,80,3,1,0,6,0,0,0,9,1,,2011-06-06 07:01:46,
249352092010661,169112451010661,249352094010661,2010,54,71,2100,3,1,,100,,72,4,38,100,0,1,76,5,1,0,1,0,0,0,16,1,,2011-06-06 07:01:46,
249352093010661,169112451010661,249352094010661,2010,54,71,2100,4,1,,100,,33,5,85,95,0,1,82,1,1,0,5,0,0,0,10,1,,2011-06-06 07:01:46,
249352220010661,169112507010661,249352224010661,2010,54,75,3599,1,1,,100,,88,90,58,84,0,1,81,1,8,0,1,0,0,0,8,1,,2011-06-06 07:01:46,
249352221010661,169112507010661,249352224010661,2010,54,75,3599,2,1,,100,,96,85,85,74,0,0,82,1,7,0,0,0,0,0,10,1,,2011-06-06 07:01:46,
249352222010661,169112507010661,249352224010661,2010,54,75,3599,3,1,,82,40,58,39,78,75,0,19,41,2,6,0,9,0,0,0,5,1,,2011-06-06 07:01:46,
249352223010661,169112507010661,249352224010661,2010,54,75,3599,4,1,,100,,80,68,89,99,0,4,66,1,2,0,19,0,0,0,8,1,,2011-06-06 07:01:46,
249352894010661,169112575010661,249352898010661,2010,54,83,1282,1,1,,100,,85,25,85,78,0,1,75,4,1,0,4,0,8,0,7,1,,2011-06-06 07:01:48,
249352895010661,169112575010661,249352898010661,2010,54,83,1282,2,1,,100,,85,40,76,90,0,1,78,8,1,0,2,0,0,0,10,1,,2011-06-06 07:01:48,
249352896010661,169112575010661,249352898010661,2010,54,83,1282,3,1,,100,,80,88,80,85,0,1,85,0,1,0,1,0,0,0,12,1,,2011-06-06 07:01:48,
249352897010661,169112575010661,249352898010661,2010,54,83,1282,4,1,,100,,82,75,53,91,0,1,76,0,6,0,1,1,0,0,15,1,,2011-06-06 07:01:48,
249351565010661,169112609010661,249351569010661,2010,54,63,1793,1,1,,100,,100,85,20,60,0,0,75,1,2,0,16,0,0,0,6,1,,2011-06-06 07:01:44,
249351566010661,169112609010661,249351569010661,2010,54,63,1793,2,1,,100,,100,95,45,95,0,0,91,1,1,0,0,0,0,0,7,1,,2011-06-06 07:01:44,
249351567010661,169112609010661,249351569010661,2010,54,63,1793,3,1,,100,,100,90,21,40,0,0,79,0,1,0,18,0,0,0,2,1,,2011-06-06 07:01:44,
249351568010661,169112609010661,249351569010661,2010,54,63,1793,4,1,,100,,100,85,40,95,0,0,84,0,2,0,1,0,0,0,13,1,,2011-06-06 07:01:44,
249349101010661,169112647010661,249349105010661,2010,54,1,2429,1,1,,100,,56,9,36,99,0,1,69,5,2,0,9,0,0,0,14,1,,2011-06-06 07:01:36,
249349102010661,169112647010661,249349105010661,2010,54,1,2429,2,1,,100,,52,9,38,88,0,0,21,6,7,0,18,0,0,0,48,1,,2011-06-06 07:01:36,
249349103010661,169112647010661,249349105010661,2010,54,1,2429,3,1,,100,,72,10,62,94,0,1,70,8,3,0,2,0,0,0,16,1,,2011-06-06 07:01:36,
249349104010661,169112647010661,249349105010661,2010,54,1,2429,4,1,,100,,88,52,14,90,0,0,77,4,2,0,1,0,0,0,16,1,,2011-06-06 07:01:36,
249349960010661,169112739010661,249349964010661,2010,54,33,830,1,1,,100,,90,72,45,80,0,0,42,48,1,0,0,0,0,1,8,1,,2011-06-06 07:01:39,
249349961010661,169112739010661,249349964010661,2010,54,33,830,2,1,,100,,100,95,1,0,0,0,50,50,0,0,0,0,0,0,0,1,,2011-06-06 07:01:39,
249349962010661,169112739010661,249349964010661,2010,54,33,830,3,1,,100,,86,45,42,99,0,0,41,45,1,0,1,0,0,0,12,1,,2011-06-06 07:01:39,
249349963010661,169112739010661,249349964010661,2010,54,33,830,4,1,,100,,92,45,78,95,0,0,44,50,1,0,0,0,0,0,5,1,,2011-06-06 07:01:39,
249350494010661,169112751010661,249350498010661,2010,54,41,2378,1,1,,100,,65,15,55,100,0,0,83,3,1,0,1,0,0,0,12,1,,2011-06-06 07:01:41,
249350495010661,169112751010661,249350498010661,2010,54,41,2378,2,1,,19,32,15,14,11,19,0,0,7,5,2,0,0,0,0,0,5,2,,2011-06-06 07:01:41,
249350496010661,169112751010661,249350498010661,2010,54,41,2378,3,1,,100,,95,55,20,80,0,0,78,3,1,0,2,0,0,0,16,1,,2011-06-06 07:01:41,
249350497010661,169112751010661,249350498010661,2010,54,41,2378,4,1,,100,,52,24,70,95,0,0,91,0,0,0,1,0,0,0,8,1,,2011-06-06 07:01:41,
249351869010661,169112765010661,249351873010661,2010,54,67,862,1,1,,100,,72,10,33,85,0,0,37,12,10,0,26,0,10,0,5,1,,2011-06-06 07:01:45,
249351870010661,169112765010661,249351873010661,2010,54,67,862,2,1,,100,,76,12,14,95,0,0,68,6,1,0,10,0,0,0,15,1,,2011-06-06 07:01:45,
249351871010661,169112765010661,249351873010661,2010,54,67,862,3,1,,100,,52,16,40,99,0,0,70,1,1,0,15,0,0,0,13,1,,2011-06-06 07:01:45,
249351872010661,169112765010661,249351873010661,2010,54,67,862,4,1,,100,,50,33,65,95,0,0,54,2,6,0,20,0,0,1,17,1,,2011-06-06 07:01:45,
249349642010661,169112775010661,249349646010661,2010,54,19,913,1,1,,100,,92,46,40,92,0,0,72,3,1,0,1,0,14,0,9,1,,2011-06-06 07:01:38,
249349643010661,169112775010661,249349646010661,2010,54,19,913,2,1,,100,,89,30,95,99,0,0,65,9,7,0,1,0,0,0,18,1,,2011-06-06 07:01:38,
249349644010661,169112775010661,249349646010661,2010,54,19,913,3,1,,73,32,68,65,55,72,0,0,57,9,2,0,1,0,0,0,4,1,,2011-06-06 07:01:38,
249349645010661,169112775010661,249349646010661,2010,54,19,913,4,1,,100,,91,16,44,96,0,0,80,2,2,0,1,0,9,0,6,1,,2011-06-06 07:01:38,
249351184010661,169112787010661,249351188010661,2010,54,55,737,1,1,,100,,24,30,99,8,0,0,13,75,1,0,2,1,0,0,8,1,,2011-06-06 07:01:43,
249351185010661,169112787010661,249351188010661,2010,54,55,737,2,1,,100,,38,42,95,12,0,2,45,1,4,0,29,0,0,0,19,1,,2011-06-06 07:01:43,
249351186010661,169112787010661,249351188010661,2010,54,55,737,3,1,,100,,66,31,87,45,0,0,72,11,0,0,1,0,0,0,16,1,,2011-06-06 07:01:43,
249351187010661,169112787010661,249351188010661,2010,54,55,737,4,1,,100,,80,14,76,100,0,0,62,6,5,0,14,0,8,0,5,1,,2011-06-06 07:01:43,
249350692010661,169112915010661,249350696010661,2010,54,47,2474,1,1,,100,,100,95,24,82,0,0,73,1,4,0,17,0,0,0,5,1,,2011-06-06 07:01:42,
249350693010661,169112915010661,249350696010661,2010,54,47,2474,2,1,,100,,100,92,58,38,0,0,38,4,5,0,15,0,0,0,38,1,,2011-06-06 07:01:42,
249350694010661,169112915010661,249350696010661,2010,54,47,2474,3,1,,100,,99,95,25,22,0,0,59,4,0,0,18,0,0,0,19,1,,2011-06-06 07:01:42,
249350695010661,169112915010661,249350696010661,2010,54,47,2474,4,1,,100,,86,27,46,100,0,1,56,2,15,0,14,0,0,0,12,1,,2011-06-06 07:01:42,
249350970010661,169112927010661,249350974010661,2010,54,51,1731,1,2,,,,,,,,,,,,,,,,,,,2,,2011-06-06 07:01:43,
249350971010661,169112927010661,249350974010661,2010,54,51,1731,2,2,,,,,,,,,,,,,,,,,,,2,,2011-06-06 07:01:43,
249350972010661,169112927010661,249350974010661,2010,54,51,1731,3,2,,,,,,,,,,,,,,,,,,,2,,2011-06-06 07:01:43,
249350973010661,169112927010661,249350974010661,2010,54,51,1731,4,1,,54,11,52,45,35,41,0,0,45,1,1,0,1,0,0,0,6,1,,2011-06-06 07:01:43,
249350327010661,169112995010661,249350331010661,2010,54,39,2374,1,1,,100,,88,36,68,100,0,0,86,1,1,0,0,0,0,0,12,1,,2011-06-06 07:01:40,
249350328010661,169112995010661,249350331010661,2010,54,39,2374,2,1,,100,,88,9,28,99,0,0,80,4,4,0,0,0,0,0,12,1,,2011-06-06 07:01:40,
236067638010661,145008093010661,236067640010661,2009,54,59,257,3,1,,100,,45,40,95,90,0,1,87,3,2,0,1,0,0,0,6,1,,2010-11-05 10:21:20,
236065554010661,145008105010661,236065558010661,2009,54,101,2463,1,1,,100,,25,19,35,100,0,1,60,3,25,0,5,0,0,0,6,1,,2010-11-05 10:21:24,
236065555010661,145008105010661,236065558010661,2009,54,101,2463,2,1,,100,,30,12,20,90,0,1,61,0,30,0,6,0,0,0,2,1,,2010-11-05 10:21:24,
218446592010661,171000585010661,218446638010661,2008,54,107,934,1,1,,100,,95,45,48,43,0,1,94,1,1,0,1,0,0,0,2,1,,2009-10-30 10:22:53,
218446593010661,171000585010661,218446638010661,2008,54,107,934,2,1,,100,,90,70,55,0,0,1,96,1,1,0,0,0,0,0,1,1,,2009-10-30 10:22:53,
218446594010661,171000585010661,218446638010661,2008,54,107,934,3,1,,100,,70,85,75,10,0,1,97,0,0,0,0,0,0,0,2,1,,2009-10-30 10:22:53,
218446595010661,171000585010661,218446638010661,2008,54,107,934,4,1,,100,,90,25,40,82,0,1,80,2,1,0,2,1,1,0,12,1,,2009-10-30 10:22:53,
218445982010661,171000596010661,218445986010661,2008,54,109,1029,1,2,,,,,,,,,,,,,,,,,,,2,,2009-10-30 10:22:53,
218445983010661,171000596010661,218445986010661,2008,54,109,1029,2,1,,32,31,15,31,22,15,0,1,28,0,1,0,1,0,0,0,1,2,,2009-10-30 10:22:53,
218445984010661,171000596010661,218445986010661,2008,54,109,1029,3,2,,,,,,,,,,,,,,,,,,,2,,2009-10-30 10:22:53,
218445985010661,171000596010661,218445986010661,2008,54,109,1029,4,2,,,,,,,,,,,,,,,,,,,2,,2009-10-30 10:22:53,
